dataset,model,outlier,run,seed,score
Bank_Customer_Churn_Dataset,xgboost,IQR,1,43,0.82100
Bank_Customer_Churn_Dataset,xgboost,IQR,2,44,0.82850
Bank_Customer_Churn_Dataset,xgboost,IQR,3,45,0.82750
Bank_Customer_Churn_Dataset,xgboost,IQR,4,46,0.80900
Bank_Customer_Churn_Dataset,randomforest,None,0,42,0.84850
Bank_Customer_Churn_Dataset,randomforest,None,1,43,0.79900
Bank_Customer_Churn_Dataset,randomforest,None,2,44,0.79050
Bank_Customer_Churn_Dataset,randomforest,None,3,45,0.83250
Bank_Customer_Churn_Dataset,randomforest,None,4,46,0.81800
Bank_Customer_Churn_Dataset,randomforest,ZScore,0,42,0.84950
Bank_Customer_Churn_Dataset,randomforest,ZScore,1,43,0.81200
Bank_Customer_Churn_Dataset,randomforest,ZScore,2,44,0.79250
Bank_Customer_Churn_Dataset,randomforest,ZScore,3,45,0.83700
Bank_Customer_Churn_Dataset,randomforest,ZScore,4,46,0.81550
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,0,42,0.84300
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,1,43,0.81300
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,2,44,0.79700
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,3,45,0.82900
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,4,46,0.82250
Bank_Customer_Churn_Dataset,randomforest,IQR,0,42,0.84250
Bank_Customer_Churn_Dataset,randomforest,IQR,1,43,0.79900
Bank_Customer_Churn_Dataset,randomforest,IQR,2,44,0.79600
Bank_Customer_Churn_Dataset,randomforest,IQR,3,45,0.83250
Bank_Customer_Churn_Dataset,randomforest,IQR,4,46,0.81500
cmc,mlp,None,0,42,0.50169
cmc,mlp,None,1,43,0.52881
cmc,mlp,None,2,44,0.49831
cmc,mlp,None,3,45,0.51525
cmc,mlp,None,4,46,0.51186
cmc,mlp,ZScore,0,42,0.54237
cmc,mlp,ZScore,1,43,0.53559
cmc,mlp,ZScore,2,44,0.49153
cmc,mlp,ZScore,3,45,0.51525
cmc,mlp,ZScore,4,46,0.48136
cmc,mlp,IsolationForest,0,42,0.51864
cmc,mlp,IsolationForest,1,43,0.53220
cmc,mlp,IsolationForest,2,44,0.51864
cmc,mlp,IsolationForest,3,45,0.52203
cmc,mlp,IsolationForest,4,46,0.48814
cmc,mlp,IQR,0,42,0.52203
cmc,mlp,IQR,1,43,0.53898
cmc,mlp,IQR,2,44,0.52542
cmc,mlp,IQR,3,45,0.52203
cmc,mlp,IQR,4,46,0.51186
cmc,xgboost,None,0,42,0.54915
cmc,xgboost,None,1,43,0.52881
cmc,xgboost,None,2,44,0.51864
cmc,xgboost,None,3,45,0.50169
cmc,xgboost,None,4,46,0.51864
cmc,xgboost,ZScore,0,42,0.54237
cmc,xgboost,ZScore,1,43,0.50508
cmc,xgboost,ZScore,2,44,0.53220
cmc,xgboost,ZScore,3,45,0.48814
cmc,xgboost,ZScore,4,46,0.51525
cmc,xgboost,IsolationForest,0,42,0.53898
cmc,xgboost,IsolationForest,1,43,0.51525
cmc,xgboost,IsolationForest,2,44,0.52203
cmc,xgboost,IsolationForest,3,45,0.49492
cmc,xgboost,IsolationForest,4,46,0.51525
cmc,xgboost,IQR,0,42,0.56271
cmc,xgboost,IQR,1,43,0.52542
cmc,xgboost,IQR,2,44,0.51864
cmc,xgboost,IQR,3,45,0.49831
cmc,xgboost,IQR,4,46,0.51864
cmc,randomforest,None,0,42,0.50169
cmc,randomforest,None,1,43,0.49831
cmc,randomforest,None,2,44,0.51186
cmc,randomforest,None,3,45,0.51525
cmc,randomforest,None,4,46,0.52542
cmc,randomforest,ZScore,0,42,0.51186
cmc,randomforest,ZScore,1,43,0.51525
cmc,randomforest,ZScore,2,44,0.52203
cmc,randomforest,ZScore,3,45,0.50508
cmc,randomforest,ZScore,4,46,0.51864
cmc,randomforest,IsolationForest,0,42,0.50508
cmc,randomforest,IsolationForest,1,43,0.47797
cmc,randomforest,IsolationForest,2,44,0.50847
cmc,randomforest,IsolationForest,3,45,0.51186
cmc,randomforest,IsolationForest,4,46,0.52542
cmc,randomforest,IQR,0,42,0.52542
cmc,randomforest,IQR,1,43,0.49153
cmc,randomforest,IQR,2,44,0.51525
cmc,randomforest,IQR,3,45,0.50847
cmc,randomforest,IQR,4,46,0.53898
credit-g,mlp,None,0,42,0.72500
credit-g,mlp,None,1,43,0.70500
credit-g,mlp,None,2,44,0.75000
credit-g,mlp,None,3,45,0.67500
credit-g,mlp,None,4,46,0.71000
credit-g,mlp,ZScore,0,42,0.72500
credit-g,mlp,ZScore,1,43,0.70500
credit-g,mlp,ZScore,2,44,0.75000
credit-g,mlp,ZScore,3,45,0.67500
credit-g,mlp,ZScore,4,46,0.71000
credit-g,mlp,IQR,0,42,0.72500
credit-g,mlp,IQR,1,43,0.70500
credit-g,mlp,IQR,2,44,0.75000
credit-g,mlp,IQR,3,45,0.67500
credit-g,mlp,IQR,4,46,0.71000
credit-g,xgboost,None,0,42,0.75000
credit-g,xgboost,None,1,43,0.75500
credit-g,xgboost,None,2,44,0.73500
credit-g,xgboost,None,3,45,0.71000
credit-g,xgboost,None,4,46,0.72000
credit-g,xgboost,ZScore,0,42,0.75000
credit-g,xgboost,ZScore,1,43,0.75500
credit-g,xgboost,ZScore,2,44,0.73500
credit-g,xgboost,ZScore,3,45,0.71000
credit-g,xgboost,ZScore,4,46,0.72000
credit-g,xgboost,IQR,0,42,0.75000
credit-g,xgboost,IQR,1,43,0.75500
credit-g,xgboost,IQR,2,44,0.73500
credit-g,xgboost,IQR,3,45,0.71000
credit-g,xgboost,IQR,4,46,0.72000
credit-g,randomforest,None,0,42,0.71500
credit-g,randomforest,None,1,43,0.73000
credit-g,randomforest,None,2,44,0.74000
credit-g,randomforest,None,3,45,0.72000
credit-g,randomforest,None,4,46,0.74500
credit-g,randomforest,ZScore,0,42,0.71500
credit-g,randomforest,ZScore,1,43,0.73000
credit-g,randomforest,ZScore,2,44,0.74000
credit-g,randomforest,ZScore,3,45,0.72000
credit-g,randomforest,ZScore,4,46,0.74500
credit-g,randomforest,IQR,0,42,0.71500
credit-g,randomforest,IQR,1,43,0.73000
credit-g,randomforest,IQR,2,44,0.74000
credit-g,randomforest,IQR,3,45,0.72000
credit-g,randomforest,IQR,4,46,0.74500
electricity,mlp,None,0,42,0.78826
electricity,mlp,None,1,43,0.78837
electricity,mlp,None,2,44,0.78980
electricity,mlp,None,3,45,0.79367
electricity,mlp,None,4,46,0.78352
electricity,mlp,ZScore,0,42,0.78087
electricity,mlp,ZScore,1,43,0.78870
electricity,mlp,ZScore,2,44,0.78429
electricity,mlp,ZScore,3,45,0.78992
electricity,mlp,ZScore,4,46,0.78407
electricity,mlp,IsolationForest,0,42,0.77756
electricity,mlp,IsolationForest,1,43,0.77789
electricity,mlp,IsolationForest,2,44,0.77877
electricity,mlp,IsolationForest,3,45,0.78296
electricity,mlp,IsolationForest,4,46,0.77954
electricity,mlp,IQR,0,42,0.74975
electricity,mlp,IQR,1,43,0.74159
electricity,mlp,IQR,2,44,0.74203
electricity,mlp,IQR,3,45,0.74247
electricity,mlp,IQR,4,46,0.74423
electricity,xgboost,None,0,42,0.84795
electricity,xgboost,None,1,43,0.85137
electricity,xgboost,None,2,44,0.84707
electricity,xgboost,None,3,45,0.84652
electricity,xgboost,None,4,46,0.84288
electricity,xgboost,ZScore,0,42,0.84531
electricity,xgboost,ZScore,1,43,0.84696
electricity,xgboost,ZScore,2,44,0.84663
electricity,xgboost,ZScore,3,45,0.84773
electricity,xgboost,ZScore,4,46,0.84519
electricity,xgboost,IsolationForest,0,42,0.83504
electricity,xgboost,IsolationForest,1,43,0.84486
electricity,xgboost,IsolationForest,2,44,0.84023
electricity,xgboost,IsolationForest,3,45,0.84729
electricity,xgboost,IsolationForest,4,46,0.83747
electricity,xgboost,IQR,0,42,0.81066
electricity,xgboost,IQR,1,43,0.81187
electricity,xgboost,IQR,2,44,0.81231
electricity,xgboost,IQR,3,45,0.81253
electricity,xgboost,IQR,4,46,0.80956
electricity,randomforest,None,0,42,0.85303
electricity,randomforest,None,1,43,0.85137
electricity,randomforest,None,2,44,0.85237
electricity,randomforest,None,3,45,0.85667
electricity,randomforest,None,4,46,0.85038
electricity,randomforest,ZScore,0,42,0.84784
electricity,randomforest,ZScore,1,43,0.85193
electricity,randomforest,ZScore,2,44,0.85071
electricity,randomforest,ZScore,3,45,0.85524
electricity,randomforest,ZScore,4,46,0.85060
electricity,randomforest,IsolationForest,0,42,0.84078
electricity,randomforest,IsolationForest,1,43,0.84542
electricity,randomforest,IsolationForest,2,44,0.84387
electricity,randomforest,IsolationForest,3,45,0.84906
electricity,randomforest,IsolationForest,4,46,0.84244
electricity,randomforest,IQR,0,42,0.81099
electricity,randomforest,IQR,1,43,0.81143
electricity,randomforest,IQR,2,44,0.81187
electricity,randomforest,IQR,3,45,0.81386
electricity,randomforest,IQR,4,46,0.80812
elevators,mlp,None,0,42,0.00091
elevators,mlp,None,1,43,0.00153
elevators,mlp,None,2,44,0.00136
elevators,mlp,None,3,45,0.00086
elevators,mlp,None,4,46,0.00097
elevators,mlp,ZScore,0,42,0.00130
elevators,mlp,ZScore,1,43,0.00218
elevators,mlp,ZScore,2,44,0.00165
elevators,mlp,ZScore,3,45,0.00258
elevators,mlp,ZScore,4,46,0.00148
elevators,mlp,IsolationForest,0,42,0.00107
elevators,mlp,IsolationForest,1,43,0.00122
elevators,mlp,IsolationForest,2,44,0.00140
elevators,mlp,IsolationForest,3,45,0.00090
elevators,mlp,IsolationForest,4,46,0.00112
elevators,mlp,IQR,0,42,0.00849
elevators,mlp,IQR,1,43,0.00313
elevators,mlp,IQR,2,44,0.01347
elevators,mlp,IQR,3,45,0.00423
elevators,mlp,IQR,4,46,0.00245
elevators,xgboost,None,0,42,0.00001
elevators,xgboost,None,1,43,0.00001
elevators,xgboost,None,2,44,0.00001
elevators,xgboost,None,3,45,0.00001
elevators,xgboost,None,4,46,0.00001
elevators,xgboost,ZScore,0,42,0.00001
elevators,xgboost,ZScore,1,43,0.00001
elevators,xgboost,ZScore,2,44,0.00001
elevators,xgboost,ZScore,3,45,0.00001
elevators,xgboost,ZScore,4,46,0.00001
elevators,xgboost,IsolationForest,0,42,0.00001
elevators,xgboost,IsolationForest,1,43,0.00001
elevators,xgboost,IsolationForest,2,44,0.00001
elevators,xgboost,IsolationForest,3,45,0.00001
elevators,xgboost,IsolationForest,4,46,0.00001
elevators,xgboost,IQR,0,42,0.00001
elevators,xgboost,IQR,1,43,0.00001
elevators,xgboost,IQR,2,44,0.00001
elevators,xgboost,IQR,3,45,0.00001
elevators,xgboost,IQR,4,46,0.00001
elevators,randomforest,None,0,42,0.00001
elevators,randomforest,None,1,43,0.00001
elevators,randomforest,None,2,44,0.00001
elevators,randomforest,None,3,45,0.00001
elevators,randomforest,None,4,46,0.00001
elevators,randomforest,ZScore,0,42,0.00001
elevators,randomforest,ZScore,1,43,0.00001
elevators,randomforest,ZScore,2,44,0.00001
elevators,randomforest,ZScore,3,45,0.00001
elevators,randomforest,ZScore,4,46,0.00001
elevators,randomforest,IsolationForest,0,42,0.00001
elevators,randomforest,IsolationForest,1,43,0.00001
elevators,randomforest,IsolationForest,2,44,0.00001
elevators,randomforest,IsolationForest,3,45,0.00001
elevators,randomforest,IsolationForest,4,46,0.00001
elevators,randomforest,IQR,0,42,0.00001
elevators,randomforest,IQR,1,43,0.00001
elevators,randomforest,IQR,2,44,0.00001
elevators,randomforest,IQR,3,45,0.00001
elevators,randomforest,IQR,4,46,0.00001
eucalyptus,mlp,None,0,42,0.50676
eucalyptus,mlp,None,1,43,0.57432
eucalyptus,mlp,None,2,44,0.55405
eucalyptus,mlp,None,3,45,0.52027
eucalyptus,mlp,None,4,46,0.57432
eucalyptus,mlp,ZScore,0,42,0.50676
eucalyptus,mlp,ZScore,1,43,0.57432
eucalyptus,mlp,ZScore,2,44,0.55405
eucalyptus,mlp,ZScore,3,45,0.52027
eucalyptus,mlp,ZScore,4,46,0.57432
eucalyptus,mlp,IQR,0,42,0.50676
eucalyptus,mlp,IQR,1,43,0.57432
eucalyptus,mlp,IQR,2,44,0.55405
eucalyptus,mlp,IQR,3,45,0.52027
eucalyptus,mlp,IQR,4,46,0.57432
eucalyptus,xgboost,None,0,42,0.54730
eucalyptus,xgboost,None,1,43,0.60811
eucalyptus,xgboost,None,2,44,0.57432
eucalyptus,xgboost,None,3,45,0.58108
eucalyptus,xgboost,None,4,46,0.58784
eucalyptus,xgboost,ZScore,0,42,0.54730
eucalyptus,xgboost,ZScore,1,43,0.60811
eucalyptus,xgboost,ZScore,2,44,0.57432
eucalyptus,xgboost,ZScore,3,45,0.58108
eucalyptus,xgboost,ZScore,4,46,0.58784
eucalyptus,xgboost,IQR,0,42,0.54730
eucalyptus,xgboost,IQR,1,43,0.60811
eucalyptus,xgboost,IQR,2,44,0.57432
eucalyptus,xgboost,IQR,3,45,0.58108
eucalyptus,xgboost,IQR,4,46,0.58784
eucalyptus,randomforest,None,0,42,0.56081
eucalyptus,randomforest,None,1,43,0.58784
eucalyptus,randomforest,None,2,44,0.56081
eucalyptus,randomforest,None,3,45,0.56081
eucalyptus,randomforest,None,4,46,0.60811
eucalyptus,randomforest,ZScore,0,42,0.56081
eucalyptus,randomforest,ZScore,1,43,0.58784
eucalyptus,randomforest,ZScore,2,44,0.56081
eucalyptus,randomforest,ZScore,3,45,0.56081
eucalyptus,randomforest,ZScore,4,46,0.60811
eucalyptus,randomforest,IQR,0,42,0.56081
eucalyptus,randomforest,IQR,1,43,0.58784
eucalyptus,randomforest,IQR,2,44,0.56081
eucalyptus,randomforest,IQR,3,45,0.56081
eucalyptus,randomforest,IQR,4,46,0.60811
eye_movements,mlp,None,0,42,0.40311
eye_movements,mlp,None,1,43,0.39580
eye_movements,mlp,None,2,44,0.40951
eye_movements,mlp,None,3,45,0.41225
eye_movements,mlp,None,4,46,0.37797
eye_movements,mlp,ZScore,0,42,0.37888
eye_movements,mlp,ZScore,1,43,0.39717
eye_movements,mlp,ZScore,2,44,0.42962
eye_movements,mlp,ZScore,3,45,0.41179
eye_movements,mlp,ZScore,4,46,0.40814
eye_movements,mlp,IsolationForest,0,42,0.41499
eye_movements,mlp,IsolationForest,1,43,0.39122
eye_movements,mlp,IsolationForest,2,44,0.42048
eye_movements,mlp,IsolationForest,3,45,0.42870
eye_movements,mlp,IsolationForest,4,46,0.36883
eye_movements,mlp,IQR,0,42,0.36974
eye_movements,mlp,IQR,1,43,0.37706
eye_movements,mlp,IQR,2,44,0.38894
eye_movements,mlp,IQR,3,45,0.38848
eye_movements,mlp,IQR,4,46,0.40859
eye_movements,xgboost,None,0,42,0.43190
eye_movements,xgboost,None,1,43,0.54342
eye_movements,xgboost,None,2,44,0.49726
eye_movements,xgboost,None,3,45,0.49634
eye_movements,xgboost,None,4,46,0.45110
eye_movements,xgboost,ZScore,0,42,0.48172
eye_movements,xgboost,ZScore,1,43,0.47898
eye_movements,xgboost,ZScore,2,44,0.47166
eye_movements,xgboost,ZScore,3,45,0.48263
eye_movements,xgboost,ZScore,4,46,0.42413
eye_movements,xgboost,IsolationForest,0,42,0.46435
eye_movements,xgboost,IsolationForest,1,43,0.54388
eye_movements,xgboost,IsolationForest,2,44,0.48995
eye_movements,xgboost,IsolationForest,3,45,0.49589
eye_movements,xgboost,IsolationForest,4,46,0.44927
eye_movements,xgboost,IQR,0,42,0.42413
eye_movements,xgboost,IQR,1,43,0.42687
eye_movements,xgboost,IQR,2,44,0.41088
eye_movements,xgboost,IQR,3,45,0.43739
eye_movements,xgboost,IQR,4,46,0.41362
eye_movements,randomforest,None,0,42,0.29296
eye_movements,randomforest,None,1,43,0.39717
eye_movements,randomforest,None,2,44,0.31810
eye_movements,randomforest,None,3,45,0.28154
eye_movements,randomforest,None,4,46,0.29296
eye_movements,randomforest,ZScore,0,42,0.33821
eye_movements,randomforest,ZScore,1,43,0.35420
eye_movements,randomforest,ZScore,2,44,0.34186
eye_movements,randomforest,ZScore,3,45,0.34781
eye_movements,randomforest,ZScore,4,46,0.28611
eye_movements,randomforest,IsolationForest,0,42,0.31718
eye_movements,randomforest,IsolationForest,1,43,0.39945
eye_movements,randomforest,IsolationForest,2,44,0.35101
eye_movements,randomforest,IsolationForest,3,45,0.30256
eye_movements,randomforest,IsolationForest,4,46,0.29159
eye_movements,randomforest,IQR,0,42,0.36426
eye_movements,randomforest,IQR,1,43,0.33181
eye_movements,randomforest,IQR,2,44,0.32952
eye_movements,randomforest,IQR,3,45,0.38528
eye_movements,randomforest,IQR,4,46,0.30850
house_16H,mlp,None,0,42,0.86138
house_16H,mlp,None,1,43,0.85693
house_16H,mlp,None,2,44,0.85545
house_16H,mlp,None,3,45,0.85767
house_16H,mlp,None,4,46,0.85582
house_16H,mlp,ZScore,0,42,0.85360
house_16H,mlp,ZScore,1,43,0.85248
house_16H,mlp,ZScore,2,44,0.84841
house_16H,mlp,ZScore,3,45,0.85730
house_16H,mlp,ZScore,4,46,0.85915
house_16H,mlp,IsolationForest,0,42,0.85285
house_16H,mlp,IsolationForest,1,43,0.86212
house_16H,mlp,IsolationForest,2,44,0.85619
house_16H,mlp,IsolationForest,3,45,0.85730
house_16H,mlp,IsolationForest,4,46,0.86212
house_16H,mlp,IQR,0,42,0.82876
house_16H,mlp,IQR,1,43,0.80504
house_16H,mlp,IQR,2,44,0.77539
house_16H,mlp,IQR,3,45,0.79059
house_16H,mlp,IQR,4,46,0.80430
house_16H,xgboost,None,0,42,0.87435
house_16H,xgboost,None,1,43,0.87472
house_16H,xgboost,None,2,44,0.88065
house_16H,xgboost,None,3,45,0.88139
house_16H,xgboost,None,4,46,0.87435
house_16H,xgboost,ZScore,0,42,0.87213
house_16H,xgboost,ZScore,1,43,0.87139
house_16H,xgboost,ZScore,2,44,0.86953
house_16H,xgboost,ZScore,3,45,0.87509
house_16H,xgboost,ZScore,4,46,0.86620
house_16H,xgboost,IsolationForest,0,42,0.87732
house_16H,xgboost,IsolationForest,1,43,0.87472
house_16H,xgboost,IsolationForest,2,44,0.87620
house_16H,xgboost,IsolationForest,3,45,0.87509
house_16H,xgboost,IsolationForest,4,46,0.87398
house_16H,xgboost,IQR,0,42,0.87398
house_16H,xgboost,IQR,1,43,0.87139
house_16H,xgboost,IQR,2,44,0.86620
house_16H,xgboost,IQR,3,45,0.86879
house_16H,xgboost,IQR,4,46,0.87139
house_16H,randomforest,None,0,42,0.87546
house_16H,randomforest,None,1,43,0.87435
house_16H,randomforest,None,2,44,0.87806
house_16H,randomforest,None,3,45,0.88213
house_16H,randomforest,None,4,46,0.87509
house_16H,randomforest,ZScore,0,42,0.86768
house_16H,randomforest,ZScore,1,43,0.87139
house_16H,randomforest,ZScore,2,44,0.86546
house_16H,randomforest,ZScore,3,45,0.86990
house_16H,randomforest,ZScore,4,46,0.86768
house_16H,randomforest,IsolationForest,0,42,0.87806
house_16H,randomforest,IsolationForest,1,43,0.87769
house_16H,randomforest,IsolationForest,2,44,0.87583
house_16H,randomforest,IsolationForest,3,45,0.87546
house_16H,randomforest,IsolationForest,4,46,0.87509
house_16H,randomforest,IQR,0,42,0.85656
house_16H,randomforest,IQR,1,43,0.86175
house_16H,randomforest,IQR,2,44,0.86546
house_16H,randomforest,IQR,3,45,0.86138
house_16H,randomforest,IQR,4,46,0.86509
kc1,mlp,None,0,42,0.85545
kc1,mlp,None,1,43,0.86730
kc1,mlp,None,2,44,0.85545
kc1,mlp,None,3,45,0.85308
kc1,mlp,None,4,46,0.86967
kc1,mlp,ZScore,0,42,0.84360
kc1,mlp,ZScore,1,43,0.86967
kc1,mlp,ZScore,2,44,0.86256
kc1,mlp,ZScore,3,45,0.83412
kc1,mlp,ZScore,4,46,0.86493
kc1,mlp,IsolationForest,0,42,0.85545
kc1,mlp,IsolationForest,1,43,0.86730
kc1,mlp,IsolationForest,2,44,0.84834
kc1,mlp,IsolationForest,3,45,0.86967
kc1,mlp,IsolationForest,4,46,0.86256
kc1,mlp,IQR,0,42,0.80095
kc1,mlp,IQR,1,43,0.84834
kc1,mlp,IQR,2,44,0.81754
kc1,mlp,IQR,3,45,0.79858
kc1,mlp,IQR,4,46,0.81517
kc1,xgboost,None,0,42,0.84834
kc1,xgboost,None,1,43,0.86493
kc1,xgboost,None,2,44,0.86019
kc1,xgboost,None,3,45,0.88152
kc1,xgboost,None,4,46,0.87678
kc1,xgboost,ZScore,0,42,0.86019
kc1,xgboost,ZScore,1,43,0.85782
kc1,xgboost,ZScore,2,44,0.83649
kc1,xgboost,ZScore,3,45,0.84597
kc1,xgboost,ZScore,4,46,0.84834
kc1,xgboost,IsolationForest,0,42,0.84834
kc1,xgboost,IsolationForest,1,43,0.87441
kc1,xgboost,IsolationForest,2,44,0.85071
kc1,xgboost,IsolationForest,3,45,0.87441
kc1,xgboost,IsolationForest,4,46,0.86256
kc1,xgboost,IQR,0,42,0.83649
kc1,xgboost,IQR,1,43,0.83649
kc1,xgboost,IQR,2,44,0.81517
kc1,xgboost,IQR,3,45,0.83412
kc1,xgboost,IQR,4,46,0.83412
kc1,randomforest,None,0,42,0.85071
kc1,randomforest,None,1,43,0.86256
kc1,randomforest,None,2,44,0.84834
kc1,randomforest,None,3,45,0.85071
kc1,randomforest,None,4,46,0.87204
kc1,randomforest,ZScore,0,42,0.85308
kc1,randomforest,ZScore,1,43,0.86493
kc1,randomforest,ZScore,2,44,0.84360
kc1,randomforest,ZScore,3,45,0.84360
kc1,randomforest,ZScore,4,46,0.85308
kc1,randomforest,IsolationForest,0,42,0.84834
kc1,randomforest,IsolationForest,1,43,0.86730
kc1,randomforest,IsolationForest,2,44,0.84834
kc1,randomforest,IsolationForest,3,45,0.85071
kc1,randomforest,IsolationForest,4,46,0.85782
kc1,randomforest,IQR,0,42,0.84123
kc1,randomforest,IQR,1,43,0.84597
kc1,randomforest,IQR,2,44,0.82227
kc1,randomforest,IQR,3,45,0.82938
kc1,randomforest,IQR,4,46,0.80095
phoneme,mlp,None,0,42,0.85199
phoneme,mlp,None,1,43,0.84089
phoneme,mlp,None,2,44,0.83904
phoneme,mlp,None,3,45,0.84181
phoneme,mlp,None,4,46,0.85569
phoneme,mlp,ZScore,0,42,0.84644
phoneme,mlp,ZScore,1,43,0.84089
phoneme,mlp,ZScore,2,44,0.85106
phoneme,mlp,ZScore,3,45,0.83256
phoneme,mlp,ZScore,4,46,0.84736
phoneme,mlp,IsolationForest,0,42,0.84644
phoneme,mlp,IsolationForest,1,43,0.84551
phoneme,mlp,IsolationForest,2,44,0.85014
phoneme,mlp,IsolationForest,3,45,0.83441
phoneme,mlp,IsolationForest,4,46,0.83904
phoneme,mlp,IQR,0,42,0.82146
phoneme,mlp,IQR,1,43,0.81499
phoneme,mlp,IQR,2,44,0.81776
phoneme,mlp,IQR,3,45,0.80759
phoneme,mlp,IQR,4,46,0.81869
phoneme,xgboost,None,0,42,0.86216
phoneme,xgboost,None,1,43,0.85939
phoneme,xgboost,None,2,44,0.86864
phoneme,xgboost,None,3,45,0.86494
phoneme,xgboost,None,4,46,0.86216
phoneme,xgboost,ZScore,0,42,0.86309
phoneme,xgboost,ZScore,1,43,0.85014
phoneme,xgboost,ZScore,2,44,0.86401
phoneme,xgboost,ZScore,3,45,0.85846
phoneme,xgboost,ZScore,4,46,0.86216
phoneme,xgboost,IsolationForest,0,42,0.85754
phoneme,xgboost,IsolationForest,1,43,0.86401
phoneme,xgboost,IsolationForest,2,44,0.86216
phoneme,xgboost,IsolationForest,3,45,0.86586
phoneme,xgboost,IsolationForest,4,46,0.85754
phoneme,xgboost,IQR,0,42,0.84736
phoneme,xgboost,IQR,1,43,0.83626
phoneme,xgboost,IQR,2,44,0.82979
phoneme,xgboost,IQR,3,45,0.83811
phoneme,xgboost,IQR,4,46,0.84829
phoneme,randomforest,None,0,42,0.87049
phoneme,randomforest,None,1,43,0.87049
phoneme,randomforest,None,2,44,0.87882
phoneme,randomforest,None,3,45,0.86957
phoneme,randomforest,None,4,46,0.87789
phoneme,randomforest,ZScore,0,42,0.87327
phoneme,randomforest,ZScore,1,43,0.86957
phoneme,randomforest,ZScore,2,44,0.87882
phoneme,randomforest,ZScore,3,45,0.87049
phoneme,randomforest,ZScore,4,46,0.87697
phoneme,randomforest,IsolationForest,0,42,0.87327
phoneme,randomforest,IsolationForest,1,43,0.87327
phoneme,randomforest,IsolationForest,2,44,0.88067
phoneme,randomforest,IsolationForest,3,45,0.87419
phoneme,randomforest,IsolationForest,4,46,0.87604
phoneme,randomforest,IQR,0,42,0.84644
phoneme,randomforest,IQR,1,43,0.84089
phoneme,randomforest,IQR,2,44,0.85384
phoneme,randomforest,IQR,3,45,0.84274
phoneme,randomforest,IQR,4,46,0.85569
pol,mlp,None,0,42,0.98215
pol,mlp,None,1,43,0.98166
