dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
Bank_Customer_Churn_Dataset,0.8181 ± 0.0184 (0.0%),0.8164 ± 0.0195 (2.2%),0.815 ± 0.0197 (2.2%),0.7961 ± 0.0354 (38.15%),0.8146 ± 0.0166 (38.15%),0.8074 ± 0.0244 (4.98%),0.8303 ± 0.0168 (4.99%),0.8263 ± 0.0163 (5.01%)
cmc,0.518 ± 0.0118 (0.0%),0.5098 ± 0.0117 (1.44%),0.5186 ± 0.0149 (1.44%),0.4847 ± 0.0219 (9.68%),0.499 ± 0.012 (9.68%),0.5044 ± 0.0135 (4.95%),0.5125 ± 0.0168 (5.03%),0.4949 ± 0.0121 (5.41%)
connect-4,0.7969 ± 0.002 (0.0%),0.7969 ± 0.002 (0.0%),0.7969 ± 0.002 (0.0%),0.7969 ± 0.002 (0.0%),0.7969 ± 0.002 (0.0%),0.7969 ± 0.002 (0.0%),0.7969 ± 0.002 (0.0%),0.7969 ± 0.002 (0.0%)
credit-g,0.737 ± 0.0216 (0.0%),0.721 ± 0.0166 (5.03%),0.736 ± 0.0193 (5.03%),0.728 ± 0.0284 (22.84%),0.732 ± 0.0117 (22.84%),0.725 ± 0.017 (4.91%),0.722 ± 0.0117 (4.81%),0.741 ± 0.0244 (5.0%)
eucalyptus,0.5784 ± 0.0301 (0.0%),0.5905 ± 0.0384 (2.64%),0.5892 ± 0.0486 (18.26%),0.4986 ± 0.0288 (32.64%),0.5351 ± 0.0239 (40.77%),0.5541 ± 0.0339 (5.06%),0.5662 ± 0.022 (5.06%),0.5716 ± 0.0279 (5.19%)
eye_movements,0.322 ± 0.0415 (0.0%),0.3298 ± 0.0232 (18.91%),0.3178 ± 0.0383 (18.91%),0.3992 ± 0.0513 (62.8%),0.4449 ± 0.0789 (62.8%),0.3342 ± 0.0337 (4.98%),0.3217 ± 0.0322 (5.0%),0.3316 ± 0.0493 (5.0%)
house_16H,0.8769 ± 0.0014 (0.0%),0.8676 ± 0.0016 (15.64%),0.8764 ± 0.0017 (15.64%),0.8574 ± 0.0048 (50.82%),0.8736 ± 0.0023 (50.82%),0.8766 ± 0.0013 (5.0%),0.8764 ± 0.0025 (5.0%),0.8762 ± 0.0024 (5.01%)
kc1,0.8616 ± 0.0077 (0.0%),0.8488 ± 0.0084 (9.86%),0.8564 ± 0.0068 (9.86%),0.8365 ± 0.007 (21.07%),0.8526 ± 0.0078 (21.07%),0.8536 ± 0.0069 (5.01%),0.8635 ± 0.0083 (4.7%),0.8521 ± 0.0049 (5.07%)
phoneme,0.8751 ± 0.0058 (0.0%),0.8755 ± 0.0036 (2.57%),0.8757 ± 0.0054 (2.57%),0.8346 ± 0.0068 (36.55%),0.8738 ± 0.0028 (36.55%),0.8729 ± 0.0015 (4.97%),0.8673 ± 0.0029 (4.97%),0.8747 ± 0.0025 (5.02%)
splice,0.9426 ± 0.0021 (0.0%),0.9426 ± 0.0021 (0.0%),0.9426 ± 0.0021 (0.0%),0.9426 ± 0.0021 (0.0%),0.9426 ± 0.0021 (0.0%),0.9426 ± 0.0021 (0.0%),0.9426 ± 0.0021 (0.0%),0.9426 ± 0.0021 (0.0%)
vehicle,0.7188 ± 0.0239 (0.0%),0.7188 ± 0.0208 (3.22%),0.7235 ± 0.0241 (3.22%),0.6824 ± 0.017 (51.22%),0.7235 ± 0.0193 (51.22%),0.7235 ± 0.0134 (4.96%),0.7176 ± 0.0235 (5.0%),0.7176 ± 0.0355 (5.22%)
