,mlp,randomforest,xgboost,outlier_pct
Bank_Customer_Churn_Dataset,0.8268,0.8181,0.804,38.15
cmc,0.50644,0.51797,0.51661,9.6815
connect-4,0.77864,0.79692,0.82808,0.0
credit-g,0.688,0.737,0.726,22.8437
electricity,0.78817,0.85197,0.86344,44.9222
eucalyptus,0.54054,0.57838,0.58243,32.6383
eye_movements,0.40265,0.32203,0.49452,62.7979
house_16H,0.85975,0.87695,0.87324,50.8179
kc1,0.85877,0.86161,0.86682,21.0675
phoneme,0.84755,0.87512,0.86124,36.5529
splice,0.82633,0.94263,0.94859,0.0
vehicle,0.80588,0.71882,0.74588,51.2222
PEARSON_CORR,,-0.61222,-0.25666,
