dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
Bank_Customer_Churn_Dataset,0.804 ± 0.0258 (0.0%),0.8097 ± 0.0127 (2.2%),0.7885 ± 0.0508 (2.2%),0.7917 ± 0.0176 (38.15%),0.7945 ± 0.025 (38.15%),0.8066 ± 0.0081 (4.98%),0.8085 ± 0.019 (4.99%),0.7986 ± 0.0342 (5.01%)
cmc,0.5166 ± 0.0192 (0.0%),0.5017 ± 0.0188 (1.44%),0.5125 ± 0.0203 (1.44%),0.4895 ± 0.0164 (9.68%),0.5003 ± 0.0063 (9.68%),0.5085 ± 0.0177 (4.95%),0.5024 ± 0.0162 (5.03%),0.4997 ± 0.0131 (5.41%)
connect-4,0.8281 ± 0.0012 (0.0%),0.8281 ± 0.0012 (0.0%),0.8281 ± 0.0012 (0.0%),0.8281 ± 0.0012 (0.0%),0.8281 ± 0.0012 (0.0%),0.8281 ± 0.0012 (0.0%),0.8281 ± 0.0012 (0.0%),0.8281 ± 0.0012 (0.0%)
credit-g,0.726 ± 0.0058 (0.0%),0.742 ± 0.0236 (5.03%),0.704 ± 0.0159 (5.03%),0.725 ± 0.017 (22.84%),0.737 ± 0.0258 (22.84%),0.735 ± 0.0182 (4.91%),0.719 ± 0.0166 (4.81%),0.725 ± 0.0063 (5.0%)
eucalyptus,0.5824 ± 0.0335 (0.0%),0.5635 ± 0.0251 (2.64%),0.5459 ± 0.0505 (18.26%),0.4797 ± 0.0308 (32.64%),0.5203 ± 0.0181 (40.77%),0.5568 ± 0.0398 (5.06%),0.5608 ± 0.0328 (5.06%),0.5811 ± 0.0345 (5.19%)
eye_movements,0.4945 ± 0.0286 (0.0%),0.4894 ± 0.0099 (18.91%),0.4871 ± 0.0203 (18.91%),0.4378 ± 0.0124 (62.8%),0.4689 ± 0.0334 (62.8%),0.4907 ± 0.0247 (4.98%),0.4963 ± 0.0285 (5.0%),0.4676 ± 0.0359 (5.0%)
house_16H,0.8732 ± 0.0028 (0.0%),0.8672 ± 0.0026 (15.64%),0.874 ± 0.0048 (15.64%),0.8586 ± 0.0026 (50.82%),0.8703 ± 0.0015 (50.82%),0.8739 ± 0.0038 (5.0%),0.8722 ± 0.0022 (5.0%),0.8717 ± 0.003 (5.01%)
kc1,0.8668 ± 0.0142 (0.0%),0.8431 ± 0.009 (9.86%),0.8573 ± 0.0098 (9.86%),0.8256 ± 0.0083 (21.07%),0.8521 ± 0.0129 (21.07%),0.8602 ± 0.0144 (5.01%),0.8621 ± 0.0126 (4.7%),0.8588 ± 0.0124 (5.07%)
phoneme,0.8612 ± 0.004 (0.0%),0.8611 ± 0.0033 (2.57%),0.8592 ± 0.0053 (2.57%),0.8302 ± 0.0058 (36.55%),0.8599 ± 0.0045 (36.55%),0.8561 ± 0.0053 (4.97%),0.8527 ± 0.0044 (4.97%),0.8583 ± 0.0076 (5.02%)
splice,0.9486 ± 0.0074 (0.0%),0.9486 ± 0.0074 (0.0%),0.9486 ± 0.0074 (0.0%),0.9486 ± 0.0074 (0.0%),0.9486 ± 0.0074 (0.0%),0.9486 ± 0.0074 (0.0%),0.9486 ± 0.0074 (0.0%),0.9486 ± 0.0074 (0.0%)
vehicle,0.7459 ± 0.0314 (0.0%),0.7341 ± 0.0126 (3.22%),0.7459 ± 0.0314 (3.22%),0.6718 ± 0.0205 (51.22%),0.7412 ± 0.0244 (51.22%),0.74 ± 0.0234 (4.96%),0.7294 ± 0.0247 (5.0%),0.7388 ± 0.0209 (5.22%)
