dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bank_Customer_Churn_Dataset,0.7986,0.8066,0.8085,0.804,0.7945,0.7917,0.7885,0.8097
cmc,0.49966,0.50848,0.50237,0.51661,0.50034,0.48949,0.51254,0.5017
connect-4,0.82808,0.82808,0.82808,0.82808,0.82808,0.82808,0.82808,0.82808
credit-g,0.725,0.735,0.719,0.726,0.737,0.725,0.704,0.742
electricity,0.8596,0.85535,0.85643,0.86344,0.81752,0.77548,0.8634,0.86157
eucalyptus,0.58108,0.55676,0.56081,0.58243,0.52027,0.47973,0.54595,0.56351
eye_movements,0.46755,0.49068,0.49634,0.49452,0.46892,0.43784,0.48711,0.4894
house_16H,0.87168,0.87391,0.8722,0.87324,0.87035,0.85856,0.87398,0.86716
kc1,0.85877,0.86019,0.86208,0.86682,0.85213,0.82559,0.85735,0.84313
phoneme,0.85828,0.85606,0.85273,0.86124,0.85994,0.83016,0.8592,0.86106
splice,0.94859,0.94859,0.94859,0.94859,0.94859,0.94859,0.94859,0.94859
vehicle,0.73882,0.74,0.72941,0.74588,0.74118,0.67176,0.74588,0.73412
IMPROVED,0/12,3/12,2/12,-,1/12,0/12,1/12,2/12
