dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
Bank_Customer_Churn_Dataset,0.0 ± 0.0109 (0.0%),0.0012 ± 0.0072 (2.2%),-0.0045 ± 0.0143 (2.2%),-0.0117 ± 0.006 (38.15%),-0.0172 ± 0.0061 (38.15%),-0.0003 ± 0.0111 (4.98%),0.006 ± 0.0111 (4.99%),0.0014 ± 0.013 (5.01%)
cmc,0.0 ± 0.014 (0.0%),0.0068 ± 0.0212 (1.44%),-0.0027 ± 0.0232 (1.44%),-0.0041 ± 0.0099 (9.68%),0.0007 ± 0.014 (9.68%),0.0054 ± 0.017 (4.95%),-0.0047 ± 0.0156 (5.03%),-0.0088 ± 0.0129 (5.41%)
connect-4,0.0 ± 0.0044 (0.0%),0.0 ± 0.0044 (0.0%),0.0 ± 0.0044 (0.0%),0.0 ± 0.0044 (0.0%),0.0 ± 0.0044 (0.0%),0.0 ± 0.0044 (0.0%),0.0 ± 0.0044 (0.0%),0.0 ± 0.0044 (0.0%)
credit-g,0.0 ± 0.0238 (0.0%),-0.001 ± 0.0204 (5.03%),0.008 ± 0.0267 (5.03%),-0.012 ± 0.026 (22.84%),-0.001 ± 0.0229 (22.84%),0.01 ± 0.0186 (4.91%),0.006 ± 0.0132 (4.81%),-0.006 ± 0.0136 (5.0%)
eucalyptus,0.0 ± 0.0176 (0.0%),0.0149 ± 0.0254 (2.64%),0.0014 ± 0.0108 (18.26%),-0.0973 ± 0.0461 (32.64%),-0.077 ± 0.0152 (40.77%),-0.0108 ± 0.0236 (5.06%),0.0054 ± 0.0207 (5.06%),-0.0135 ± 0.0121 (5.19%)
eye_movements,0.0 ± 0.0086 (0.0%),0.008 ± 0.0159 (18.91%),0.0004 ± 0.0158 (18.91%),-0.0012 ± 0.0135 (62.8%),-0.0101 ± 0.0142 (62.8%),0.0037 ± 0.0122 (4.98%),-0.0037 ± 0.0184 (5.0%),-0.009 ± 0.0142 (5.0%)
house_16H,0.0 ± 0.0013 (0.0%),-0.0073 ± 0.005 (15.64%),-0.0034 ± 0.0036 (15.64%),-0.0279 ± 0.0109 (50.82%),-0.0105 ± 0.0038 (50.82%),-0.0028 ± 0.0033 (5.0%),0.0028 ± 0.0049 (5.0%),0.0015 ± 0.0032 (5.01%)
kc1,0.0 ± 0.0071 (0.0%),-0.0024 ± 0.0129 (9.86%),0.0 ± 0.0053 (9.86%),-0.0104 ± 0.0119 (21.07%),-0.0095 ± 0.0087 (21.07%),0.0052 ± 0.0061 (5.01%),-0.0019 ± 0.0092 (4.7%),-0.0019 ± 0.0051 (5.07%)
phoneme,0.0 ± 0.0074 (0.0%),-0.0052 ± 0.0056 (2.57%),-0.0019 ± 0.0084 (2.57%),-0.0394 ± 0.0082 (36.55%),-0.0028 ± 0.0053 (36.55%),-0.008 ± 0.0034 (4.97%),-0.0074 ± 0.005 (4.97%),-0.0068 ± 0.0034 (5.02%)
splice,0.0 ± 0.0061 (0.0%),0.0 ± 0.0061 (0.0%),0.0 ± 0.0061 (0.0%),0.0 ± 0.0061 (0.0%),0.0 ± 0.0061 (0.0%),0.0 ± 0.0061 (0.0%),0.0 ± 0.0061 (0.0%),0.0 ± 0.0061 (0.0%)
vehicle,0.0 ± 0.0255 (0.0%),-0.0059 ± 0.0305 (3.22%),0.0 ± 0.0266 (3.22%),-0.0576 ± 0.0172 (51.22%),-0.0224 ± 0.0195 (51.22%),-0.0035 ± 0.0304 (4.96%),-0.0094 ± 0.0212 (5.0%),-0.0024 ± 0.027 (5.22%)
AVERAGE,0.0,0.0008270000000000171,-0.00025063636363635946,-0.023789363636363622,-0.013612545454545443,-9.354545454544465e-05,-0.0006261818181818086,-0.004136181818181802
