dataset,model,method,mean,std,baseline,delta,abs_delta,removed_pct,efficiency,improved,avg_removed_pct
electricity,randomforest,ZScore,0.85126,0.00239,0.85276,-0.0014999999999999458,0.0014999999999999458,1.1900000000000002,-0.0012605042016806266,False,8.069230769230769
electricity,randomforest,IsolationForest,0.84431,0.00283,0.85276,-0.008449999999999958,0.008449999999999958,5.0,-0.0016899999999999914,False,4.9772727272727275
electricity,randomforest,IQR,0.81125,0.00185,0.85276,-0.041509999999999936,0.041509999999999936,20.06,-0.0020692921236291095,False,26.813076923076924
elevators,randomforest,ZScore,1e-05,0.0,1e-05,0.0,0.0,12.5,0.0,False,8.069230769230769
elevators,randomforest,IsolationForest,1e-05,0.0,1e-05,0.0,0.0,5.0,0.0,False,4.9772727272727275
elevators,randomforest,IQR,1e-05,0.0,1e-05,0.0,0.0,46.29,0.0,False,26.813076923076924
eucalyptus,randomforest,ZScore,0.57568,0.0193,0.57568,0.0,0.0,0.0,0.0,False,8.069230769230769
eucalyptus,randomforest,IQR,0.57568,0.0193,0.57568,0.0,0.0,0.0,0.0,False,26.813076923076924
eye_movements,randomforest,ZScore,0.33364,0.02438,0.31654,0.017100000000000004,0.017100000000000004,18.91,0.0009042834479111583,True,8.069230769230769
eye_movements,randomforest,IsolationForest,0.33236,0.03906,0.31654,0.01582,0.01582,4.9799999999999995,0.0031767068273092372,True,4.9772727272727275
eye_movements,randomforest,IQR,0.34388,0.02732,0.31654,0.02734000000000003,0.02734000000000003,57.34,0.00047680502267178287,True,26.813076923076924
house_16H,randomforest,ZScore,0.86842,0.00204,0.87702,-0.008600000000000052,0.008600000000000052,15.64,-0.0005498721227621517,False,8.069230769230769
house_16H,randomforest,IsolationForest,0.87643,0.00121,0.87702,-0.0005899999999999794,0.0005899999999999794,5.0,-0.00011799999999999589,False,4.9772727272727275
house_16H,randomforest,IQR,0.86205,0.00321,0.87702,-0.014970000000000039,0.014970000000000039,52.800000000000004,-0.00028352272727272796,False,26.813076923076924
kc1,randomforest,ZScore,0.85166,0.00787,0.85687,-0.005210000000000048,0.005210000000000048,9.86,-0.0005283975659229258,False,8.069230769230769
kc1,randomforest,IsolationForest,0.8545,0.00728,0.85687,-0.0023699999999999832,0.0023699999999999832,5.01,-0.00047305389221556556,False,4.9772727272727275
kc1,randomforest,IQR,0.82796,0.0159,0.85687,-0.02890999999999999,0.02890999999999999,33.83,-0.0008545669524091041,False,26.813076923076924
