Dataset,None,ZScore,Δ ZScore,IsolationForest,Δ IsolationForest,IQR,Δ IQR
AVG Δ,,,+12.2923,,+15.7373,,+11.8901
Bank_Customer_Churn_Dataset,0.8306,0.8188,-0.0118,0.8157,-0.0149,0.8229,-0.0077
cmc,0.5207,0.5207,+0.0000,0.5281,+0.0075,0.5214,+0.0007
credit-g,0.7630,0.7070,-0.0560,0.7640,+0.0010,0.7380,-0.0250
electricity,0.9011,0.8990,-0.0021,0.8992,-0.0018,0.8886,-0.0125
elevators,0.0000,0.0000,+0.0000,0.0000,+0.0000,0.0000,+0.0000
eucalyptus,0.6905,0.2351,-0.4554,0.6622,-0.0284,0.2351,-0.4554
eye_movements,0.6615,0.6348,-0.0267,0.6570,-0.0046,0.5559,-0.1056
house_16H,0.8821,0.8715,-0.0105,0.8783,-0.0037,0.8669,-0.0152
kc1,0.8706,0.8611,-0.0095,0.8716,+0.0009,0.8479,-0.0227
phoneme,0.8859,0.8877,+0.0019,0.8871,+0.0013,0.8583,-0.0276
pol,0.9823,0.8946,-0.0877,0.9822,-0.0001,0.6896,-0.2927
socmob,1681.1012,1841.5621,+160.4609,1885.7370,+204.6358,1836.6463,+155.5451
vehicle,0.7329,0.7294,-0.0035,0.7247,-0.0082,0.7224,-0.0106
