Dataset,None,ZScore,Δ ZScore,IsolationForest,Δ IsolationForest,IQR,Δ IQR
AVG Δ,,,+5.6916,,+35.5286,,+39.4681
Bank_Customer_Churn_Dataset,0.8403,0.8354,-0.0049,0.8366,-0.0037,0.8393,-0.0010
cmc,0.5851,0.5885,+0.0034,0.5803,-0.0047,0.5830,-0.0020
credit-g,0.5770,0.4600,-0.1170,0.5640,-0.0130,0.7030,+0.1260
electricity,0.7854,0.7873,+0.0020,0.7848,-0.0006,0.7824,-0.0030
elevators,0.0010,0.0015,+0.0005,0.0011,+0.0001,0.0053,+0.0042
eucalyptus,0.1932,0.1932,+0.0000,NA,NA,0.1932,+0.0000
eye_movements,0.3969,0.4301,+0.0332,0.4086,+0.0117,0.3792,-0.0176
house_16H,0.8640,0.8663,+0.0023,0.8663,+0.0023,0.8176,-0.0465
kc1,0.8616,0.8573,-0.0043,0.8592,-0.0024,0.8147,-0.0469
phoneme,0.8426,0.8400,-0.0026,0.8422,-0.0004,0.8161,-0.0264
pol,0.9864,0.8806,-0.1058,0.9855,-0.0009,0.6101,-0.3763
socmob,1149.4096,1223.6078,+74.1982,1575.7610,+426.3514,1662.9173,+513.5078
vehicle,0.8365,0.8224,-0.0141,0.8400,+0.0035,0.8035,-0.0329
