dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bike_Sharing_Demand,2135.799 ± 290.3049,2252.2826 ± 280.6444,2189.9856 ± 296.7788,2063.3216 ± 271.0119,3389.784 ± 332.9698,5578.1546 ± 560.125,2063.3216 ± 271.0119,2183.253 ± 303.7228
abalone,9.622 ± 1.3942,9.0492 ± 1.2038,9.7061 ± 1.4352,9.6181 ± 1.2865,8.7256 ± 1.1386,7.9248 ± 1.0518,9.7912 ± 1.3431,9.4298 ± 1.2104
california_housing,2543936645.3856 ± 119180126.5856,2536873535.3077 ± 116605613.7316,2530403818.3295 ± 124218306.4389,2501084476.7419 ± 119101111.8145,2590544099.9167 ± 112116369.3321,3821806892.4756 ± 227003759.1207,2503463900.6759 ± 121364172.7054,2526629407.2257 ± 121699213.6185
cpu_act,8.5277 ± 1.1467,8.8471 ± 1.2395,8.5816 ± 1.2324,8.4683 ± 1.2678,9.5261 ± 2.2551,306.6826 ± 68.1166,8.5603 ± 1.2604,293.2325 ± 66.6812
wine_quality,0.4013 ± 0.036,0.3893 ± 0.0303,0.3916 ± 0.0329,0.3841 ± 0.0325,0.3858 ± 0.0316,0.5067 ± 0.0421,0.3843 ± 0.0332,0.3921 ± 0.0332
