dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bike_Sharing_Demand,2068.6606 ± 238.2805,2238.2983 ± 224.9279,2077.9683 ± 241.7288,2001.1602 ± 247.5314,3477.6692 ± 296.9626,4730.5392 ± 524.0339,2001.1602 ± 247.5314,2097.0358 ± 228.1311
abalone,11.6779 ± 2.6853,10.1743 ± 1.741,12.3477 ± 2.5375,11.546 ± 2.8539,10.6902 ± 2.0316,9.5904 ± 1.7622,11.169 ± 2.3631,11.509 ± 1.9781
california_housing,2381606132.1907 ± 134161272.9948,2415384490.8022 ± 134124481.3192,2390099699.8933 ± 154261367.986,2319573214.9837 ± 104388232.0668,2422846902.793 ± 126049897.0559,3268580186.5777 ± 194257077.0342,2342966357.5137 ± 124008973.8897,2366539660.4852 ± 143066472.1872
cpu_act,8.9956 ± 3.5361,11.4675 ± 6.8629,10.8408 ± 6.6545,8.9503 ± 3.7641,8.6464 ± 0.8645,305.7043 ± 68.3156,9.0252 ± 3.5415,282.2919 ± 63.8375
wine_quality,0.4433 ± 0.0392,0.438 ± 0.0326,0.4356 ± 0.0399,0.4292 ± 0.0353,0.4368 ± 0.0365,0.5981 ± 0.0549,0.4224 ± 0.0409,0.4373 ± 0.0387
