dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
connect-4,0.8022 ± 0.007,nan ± nan,0.8024 ± 0.0062,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
credit-g,0.7036 ± 0.066,0.6953 ± 0.0576,0.6938 ± 0.0752,0.6974 ± 0.0843,0.6995 ± 0.0665,0.6875 ± 0.0718,0.6969 ± 0.0841,0.6964 ± 0.0625
elevators,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
eucalyptus,0.5652 ± 0.067,0.5688 ± 0.0728,0.5716 ± 0.0684,0.5738 ± 0.0681,0.5766 ± 0.0645,0.5106 ± 0.0515,0.5738 ± 0.0681,0.5738 ± 0.0681
eye_movements,0.3435 ± 0.0282,0.3477 ± 0.0324,0.3328 ± 0.0292,0.339 ± 0.0292,0.3171 ± 0.0235,0.4491 ± 0.0236,0.3374 ± 0.0298,0.3553 ± 0.0265
house_16H,0.8806 ± 0.0115,0.8791 ± 0.011,0.8783 ± 0.0117,0.8798 ± 0.0109,0.8787 ± 0.0103,0.8632 ± 0.0128,0.8787 ± 0.0116,0.8734 ± 0.0123
kc1,0.8404 ± 0.0325,0.8431 ± 0.0346,0.8451 ± 0.0244,0.8473 ± 0.0246,0.8458 ± 0.0229,0.8377 ± 0.0314,0.847 ± 0.0251,0.8468 ± 0.0297
phoneme,0.8963 ± 0.0115,0.8982 ± 0.0117,0.8989 ± 0.0112,0.8989 ± 0.0123,0.8964 ± 0.0111,0.8709 ± 0.013,0.8985 ± 0.0131,0.8983 ± 0.012
pol,0.9822 ± 0.0044,0.982 ± 0.005,0.9778 ± 0.0059,0.9817 ± 0.0053,0.977 ± 0.0065,0.8585 ± 0.0121,0.9811 ± 0.0053,0.8932 ± 0.0125
socmob,1432.4298 ± 897.9698,1487.1121 ± 903.2547,1064.5763 ± 829.8342,1309.4703 ± 882.9142,1307.4081 ± 880.3027,1418.6199 ± 886.8149,1309.4703 ± 882.9142,1309.4703 ± 882.9142
splice,0.9472 ± 0.015,0.9463 ± 0.0153,0.9495 ± 0.0117,0.9486 ± 0.0141,0.9486 ± 0.0141,0.9486 ± 0.0141,0.9486 ± 0.0141,0.9486 ± 0.0141
vehicle,0.7432 ± 0.0556,0.7352 ± 0.0578,0.737 ± 0.0596,0.7475 ± 0.0591,0.7432 ± 0.0632,0.6846 ± 0.0568,0.7481 ± 0.0591,0.7414 ± 0.0595
