dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bike_Sharing_Demand,11875.7699 ± 797.8467,12443.3332 ± 2708.3553,11887.7292 ± 845.234,12131.8995 ± 953.2371,12063.3523 ± 899.2564,15489.4339 ± 1085.0829,12131.8995 ± 953.2371,11698.2798 ± 730.7471
abalone,37.1929 ± 5.8117,37.0331 ± 5.5023,35.9388 ± 4.5411,27.4022 ± 4.0327,23.5581 ± 4.5114,28.8098 ± 7.8441,27.4174 ± 3.9893,35.0387 ± 5.3567
california_housing,31557200826.049 ± 1698783333.0379,31365842921.5334 ± 1734650725.6301,32297133871.5899 ± 1393558789.5768,30592596137.1279 ± 1423761573.6008,28495868843.1458 ± 1342237797.9769,38781880829.8963 ± 1395027606.4516,29203984470.7068 ± 1363698024.3481,30747414795.3392 ± 1581980794.4111
cpu_act,10.8611 ± 1.6969,13.008 ± 2.7156,11.7032 ± 2.1508,10.4412 ± 1.7693,28.1355 ± 8.1138,296070.3248 ± 165937.2756,10.476 ± 1.3958,44869.3231 ± 38540.3534
wine_quality,0.4773 ± 0.0373,0.4888 ± 0.046,0.4724 ± 0.0393,0.469 ± 0.0352,0.4654 ± 0.0354,1.5533 ± 0.5928,0.4687 ± 0.0402,0.4924 ± 0.0451
