dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
elevators,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
eucalyptus,0.5738 ± 0.0757,0.5922 ± 0.0548,0.5837 ± 0.0717,0.5787 ± 0.0787,0.5844 ± 0.0619,0.5177 ± 0.0554,0.5787 ± 0.0787,0.5787 ± 0.0787
eye_movements,0.5325 ± 0.0273,0.5297 ± 0.0275,0.5233 ± 0.0209,0.5267 ± 0.0295,0.52 ± 0.0225,0.4533 ± 0.0201,0.5317 ± 0.0248,0.5398 ± 0.0195
house_16H,0.8832 ± 0.0113,0.8836 ± 0.0107,0.8817 ± 0.0118,0.8844 ± 0.0112,0.8803 ± 0.0109,0.8683 ± 0.0111,0.883 ± 0.0118,0.8799 ± 0.0102
kc1,0.8357 ± 0.0288,0.8282 ± 0.0329,0.8384 ± 0.0278,0.8374 ± 0.0253,0.8379 ± 0.0222,0.8243 ± 0.0291,0.8391 ± 0.0268,0.8347 ± 0.0288
phoneme,0.8875 ± 0.0154,0.888 ± 0.0134,0.8908 ± 0.0146,0.8889 ± 0.0133,0.8889 ± 0.0141,0.8644 ± 0.0159,0.8912 ± 0.0133,0.886 ± 0.0129
pol,0.9842 ± 0.0039,0.9835 ± 0.005,0.9836 ± 0.0052,0.9842 ± 0.0047,0.9801 ± 0.0047,0.8612 ± 0.014,0.9839 ± 0.0045,0.8903 ± 0.0144
socmob,1035.4388 ± 687.1263,1023.0215 ± 707.4139,852.2375 ± 643.3625,994.4117 ± 657.0894,990.7735 ± 649.3046,1035.1451 ± 682.1172,994.4117 ± 657.0894,994.4117 ± 657.0894
splice,0.9572 ± 0.0131,0.9579 ± 0.0131,0.9564 ± 0.0133,0.9577 ± 0.0119,0.9577 ± 0.0119,0.9577 ± 0.0119,0.9577 ± 0.0119,0.9577 ± 0.0119
vehicle,0.7469 ± 0.0685,0.7481 ± 0.0575,0.7488 ± 0.0566,0.766 ± 0.0622,0.758 ± 0.0619,0.6938 ± 0.0601,0.7611 ± 0.0616,0.7531 ± 0.061
