model,elo_mean,elo_p2_5,elo_p97_5
xgboost,1028.804656834918,628.381978314289,1709.4598657074123
randomforest,1000.0,999.9999999999999,1000.0000000000001
mlp,967.0368127948211,327.96436935939107,2532.380068335083
