outlier_config,mlp_mean,mlp_p2_5,mlp_p97_5,xgboost_mean,xgboost_p2_5,xgboost_p97_5,randomforest_mean,randomforest_p2_5,randomforest_p97_5
Autoencoder_remove,832.391700529248,446.7811223698907,1334.459189964849,1037.039444993197,759.7543468207866,1296.7996547365408,1000.0,1000.0,1000.0
IsolationForest_remove,867.9446311135573,440.23646514079235,1318.80159472705,1018.6783791302878,742.0135274692733,1276.5687403877841,1000.0,1000.0,1000.0
LOF_remove,756.7683937806444,380.55517684077,1258.1080409646995,968.2502915299349,701.3423232489569,1289.777807297637,1000.0,1000.0,1000.0
None_remove,810.8745213912507,434.6479942980669,1345.501171317707,1009.8329459408016,756.432146956737,1272.3100256033183,1000.0,1000.0,1000.0
Percentile_clip,722.2839517797086,406.7500787605445,1220.4796369823976,970.0289948016559,623.7767510425385,1255.545224963564,1000.0,1000.0,1000.0
Percentile_remove,786.900444503221,472.03486297416987,1111.156319216352,920.1185906053848,737.4311167410247,1216.4049399456494,1000.0,1000.0,1000.0
ZScore_clip,756.8527735424924,403.0643062818253,1304.6073244857298,986.212159781192,748.7581453749674,1194.6848186804573,1000.0,1000.0,1000.0
ZScore_remove,764.6629512206077,354.8670461058374,1311.881389452423,938.8223333255772,704.8207806624775,1191.820274328507,1000.0,1000.0,1000.0
