dataset,model,detector,treatment,mean,std,train_size,removed,removed_pct,clipped_values,clipped_rows,clipped_pct,outlier_pct,time
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0.815000,0.019660,6400,0.00,0.000000,140.60,140.60,0.021969,0.021969,1.149
Bank_Customer_Churn_Dataset,randomforest,Percentile,remove,0.796100,0.035401,3958,2441.60,0.381500,0.00,0.00,0.000000,0.381500,0.651
Bank_Customer_Churn_Dataset,randomforest,Percentile,clip,0.814600,0.016557,6400,0.00,0.000000,2912.40,2441.60,0.381500,0.381500,1.079
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,remove,0.807400,0.024434,6081,319.00,0.049844,0.00,0.00,0.000000,0.049844,1.032
Bank_Customer_Churn_Dataset,randomforest,LOF,remove,0.830300,0.016780,6080,319.60,0.049938,0.00,0.00,0.000000,0.049938,0.973
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0.826300,0.016336,6079,320.80,0.050125,0.00,0.00,0.000000,0.050125,1.084
cmc,mlp,None,remove,0.506441,0.013993,942,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.760
cmc,mlp,ZScore,remove,0.513220,0.021180,928,13.60,0.014437,0.00,0.00,0.000000,0.014437,0.818
cmc,mlp,ZScore,clip,0.503729,0.023150,942,0.00,0.000000,13.60,13.60,0.014437,0.014437,0.832
cmc,mlp,Percentile,remove,0.502373,0.009918,850,91.20,0.096815,0.00,0.00,0.000000,0.096815,0.803
cmc,mlp,Percentile,clip,0.507119,0.013993,942,0.00,0.000000,97.40,91.20,0.096815,0.096815,0.848
cmc,mlp,IsolationForest,remove,0.511864,0.017017,895,46.60,0.049469,0.00,0.00,0.000000,0.049469,0.826
cmc,mlp,LOF,remove,0.501695,0.015608,894,47.40,0.050318,0.00,0.00,0.000000,0.050318,0.817
cmc,mlp,Autoencoder,remove,0.497627,0.012935,891,51.00,0.054140,0.00,0.00,0.000000,0.054140,0.819
cmc,xgboost,None,remove,0.516610,0.019248,942,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.132
cmc,xgboost,ZScore,remove,0.501695,0.018813,928,13.60,0.014437,0.00,0.00,0.000000,0.014437,0.132
cmc,xgboost,ZScore,clip,0.512542,0.020271,942,0.00,0.000000,13.60,13.60,0.014437,0.014437,0.133
cmc,xgboost,Percentile,remove,0.489492,0.016412,850,91.20,0.096815,0.00,0.00,0.000000,0.096815,0.131
