,mlp_baseline,randomforest_baseline,xgboost_baseline,Percentile_remove_outlier_pct,Percentile_clip_outlier_pct
Bank_Customer_Churn_Dataset,0.8268,0.8181,0.804,38.15,38.15
cmc,0.5064,0.518,0.5166,9.68,9.68
connect-4,0.7786,0.7969,0.8281,0.0,0.0
credit-g,0.688,0.737,0.726,22.84,22.84
electricity,0.7882,0.852,0.8634,44.92,44.92
elevators,0.0009,0.0,0.0,52.68,52.68
eucalyptus,0.5405,0.5784,0.5824,32.64,40.77
eye_movements,0.4027,0.322,0.4945,62.8,62.8
house_16H,0.8597,0.8769,0.8732,50.82,50.82
kc1,0.8588,0.8616,0.8668,21.07,21.07
phoneme,0.8475,0.8751,0.8612,36.55,36.55
pol,0.9829,0.9798,0.9813,62.64,62.64
socmob,1183.3881,1521.0566,1394.0432,4.84,4.84
splice,0.8263,0.9426,0.9486,0.0,0.0
vehicle,0.8059,0.7188,0.7459,51.22,51.22
