dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
Bank_Customer_Churn_Dataset,0.0 ± 0.0184 (0.0%),-0.0017 ± 0.0195 (2.2%),-0.0031 ± 0.0197 (2.2%),-0.022 ± 0.0354 (38.15%),-0.0035 ± 0.0166 (38.15%),-0.0107 ± 0.0244 (4.98%),0.0122 ± 0.0168 (4.99%),0.0082 ± 0.0163 (5.01%)
cmc,0.0 ± 0.0118 (0.0%),-0.0081 ± 0.0117 (1.44%),0.0007 ± 0.0149 (1.44%),-0.0332 ± 0.0219 (9.68%),-0.019 ± 0.012 (9.68%),-0.0136 ± 0.0135 (4.95%),-0.0054 ± 0.0168 (5.03%),-0.0231 ± 0.0121 (5.41%)
connect-4,0.0 ± 0.002 (0.0%),0.0 ± 0.002 (0.0%),0.0 ± 0.002 (0.0%),0.0 ± 0.002 (0.0%),0.0 ± 0.002 (0.0%),0.0 ± 0.002 (0.0%),0.0 ± 0.002 (0.0%),0.0 ± 0.002 (0.0%)
credit-g,0.0 ± 0.0216 (0.0%),-0.016 ± 0.0166 (5.03%),-0.001 ± 0.0193 (5.03%),-0.009 ± 0.0284 (22.84%),-0.005 ± 0.0117 (22.84%),-0.012 ± 0.017 (4.91%),-0.015 ± 0.0117 (4.81%),0.004 ± 0.0244 (5.0%)
eucalyptus,0.0 ± 0.0301 (0.0%),0.0122 ± 0.0384 (2.64%),0.0108 ± 0.0486 (18.26%),-0.0797 ± 0.0288 (32.64%),-0.0432 ± 0.0239 (40.77%),-0.0243 ± 0.0339 (5.06%),-0.0122 ± 0.022 (5.06%),-0.0068 ± 0.0279 (5.19%)
eye_movements,0.0 ± 0.0415 (0.0%),0.0078 ± 0.0232 (18.91%),-0.0042 ± 0.0383 (18.91%),0.0771 ± 0.0513 (62.8%),0.1229 ± 0.0789 (62.8%),0.0122 ± 0.0337 (4.98%),-0.0004 ± 0.0322 (5.0%),0.0096 ± 0.0493 (5.0%)
house_16H,0.0 ± 0.0014 (0.0%),-0.0093 ± 0.0016 (15.64%),-0.0005 ± 0.0017 (15.64%),-0.0196 ± 0.0048 (50.82%),-0.0033 ± 0.0023 (50.82%),-0.0004 ± 0.0013 (5.0%),-0.0006 ± 0.0025 (5.0%),-0.0007 ± 0.0024 (5.01%)
kc1,0.0 ± 0.0077 (0.0%),-0.0128 ± 0.0084 (9.86%),-0.0052 ± 0.0068 (9.86%),-0.0251 ± 0.007 (21.07%),-0.009 ± 0.0078 (21.07%),-0.0081 ± 0.0069 (5.01%),0.0019 ± 0.0083 (4.7%),-0.0095 ± 0.0049 (5.07%)
phoneme,0.0 ± 0.0058 (0.0%),0.0004 ± 0.0036 (2.57%),0.0006 ± 0.0054 (2.57%),-0.0405 ± 0.0068 (36.55%),-0.0013 ± 0.0028 (36.55%),-0.0022 ± 0.0015 (4.97%),-0.0078 ± 0.0029 (4.97%),-0.0004 ± 0.0025 (5.02%)
splice,0.0 ± 0.0021 (0.0%),0.0 ± 0.0021 (0.0%),0.0 ± 0.0021 (0.0%),0.0 ± 0.0021 (0.0%),0.0 ± 0.0021 (0.0%),0.0 ± 0.0021 (0.0%),0.0 ± 0.0021 (0.0%),0.0 ± 0.0021 (0.0%)
vehicle,0.0 ± 0.0239 (0.0%),0.0 ± 0.0208 (3.22%),0.0047 ± 0.0241 (3.22%),-0.0365 ± 0.017 (51.22%),0.0047 ± 0.0193 (51.22%),0.0047 ± 0.0134 (4.96%),-0.0012 ± 0.0235 (5.0%),-0.0012 ± 0.0355 (5.22%)
AVERAGE,0.0,-0.0025152727272727345,0.0002465454545454286,-0.01713436363636364,0.003926909090909082,-0.004942636363636374,-0.0025814545454545283,-0.0017977272727272716
