method,median,p2.5,p97.5
mlp_None_remove,1109.6556024480433,1038.395799567838,1215.016914805086
mlp_ZScore_clip,1107.8602811054884,1041.9298358439196,1197.2284871740403
mlp_LOF_remove,1019.4402115500686,910.8239529623013,1097.9917690314123
mlp_Percentile_clip,1003.5526039500753,860.1921414222644,1150.3979705565614
mlp_Autoencoder_remove,994.5055048070351,853.6256196833292,1101.8647043584647
mlp_IsolationForest_remove,991.1042802042625,874.8991286141038,1125.9819260443735
mlp_ZScore_remove,971.6706572529342,850.2459507200593,1104.8165515456988
mlp_Percentile_remove,792.374283976365,628.0820767955987,1008.4929056252156
