dataset,mlp,randomforest,xgboost
credit-g,nan ± nan,0.6974 ± 0.0843,nan ± nan
elevators,0.0024 ± 0.0036,0.0 ± 0.0,0.0 ± 0.0
eucalyptus,0.5447 ± 0.073,0.5738 ± 0.0681,0.5787 ± 0.0787
eye_movements,0.4236 ± 0.0209,0.339 ± 0.0292,0.5267 ± 0.0295
house_16H,0.8728 ± 0.0094,0.8798 ± 0.0109,0.8844 ± 0.0112
kc1,0.8567 ± 0.0309,0.8473 ± 0.0246,0.8374 ± 0.0253
phoneme,0.8553 ± 0.0112,0.8989 ± 0.0123,0.8889 ± 0.0133
pol,0.9851 ± 0.0045,0.9817 ± 0.0053,0.9842 ± 0.0047
socmob,963.806 ± 630.1911,1309.4703 ± 882.9142,994.4117 ± 657.0894
splice,0.8649 ± 0.0148,0.9486 ± 0.0141,0.9577 ± 0.0119
vehicle,0.8253 ± 0.0507,0.7475 ± 0.0591,0.766 ± 0.0622
