Dataset,None_score,None_removed,ZScore_score,ZScore_removed,IsolationForest_score,IsolationForest_removed,IQR_score,IQR_removed
Bank_Customer_Churn_Dataset,0.8403 ± 0.0049,0,0.8354 ± 0.0073,2.13,0.8366 ± 0.0040,5.0,0.8393 ± 0.0025,4.27
cmc,0.5851 ± 0.0079,0,0.5885 ± 0.0035,1.49,0.5803 ± 0.0045,5.01,0.5830 ± 0.0101,6.16
credit-g,0.5770 ± 0.1065,0,0.4600 ± 0.1960,0.0,0.5640 ± 0.1147,5.0,0.7030 ± 0.0068,25.16
electricity,0.7854 ± 0.0029,0,0.7873 ± 0.0027,1.2,0.7848 ± 0.0033,5.0,0.7824 ± 0.0013,20.22
elevators,0.0010 ± 0.0003,0,0.0015 ± 0.0004,12.82,0.0011 ± 0.0003,5.01,0.0053 ± 0.0023,47.28
eucalyptus,0.1932 ± 0.0465,0,0.1932 ± 0.0465,0.0,NA,NA,0.1932 ± 0.0465,0.0
eye_movements,0.3969 ± 0.0150,0,0.4301 ± 0.0172,19.06,0.4086 ± 0.0329,5.0,0.3792 ± 0.0471,56.99
house_16H,0.8640 ± 0.0021,0,0.8663 ± 0.0041,15.29,0.8663 ± 0.0021,5.0,0.8176 ± 0.0149,53.06
kc1,0.8616 ± 0.0039,0,0.8573 ± 0.0071,8.38,0.8592 ± 0.0036,5.04,0.8147 ± 0.0069,33.43
phoneme,0.8426 ± 0.0058,0,0.8400 ± 0.0033,2.52,0.8422 ± 0.0039,5.0,0.8161 ± 0.0028,22.67
pol,0.9864 ± 0.0016,0,0.8806 ± 0.0039,35.8,0.9855 ± 0.0017,5.01,0.6101 ± 0.0048,87.9
socmob,1149.4096 ± 4.2380,0,1223.6078 ± 3.1374,1.35,1575.7610 ± 31.6994,4.98,1662.9173 ± 28.5810,14.07
vehicle,0.8365 ± 0.0114,0,0.8224 ± 0.0086,3.33,0.8400 ± 0.0086,5.0,0.8035 ± 0.0121,5.19
