outlier_config,mlp,xgboost,randomforest
Autoencoder_remove,1332.0540000568042,1303.9037441064515,1000.0
IsolationForest_remove,1434.0654962787191,1304.2416640202293,1000.0
LOF_remove,1183.9744320857997,1323.1408997943954,1000.0
None_remove,1287.0177851369183,1243.6929600230847,1000.0
Percentile_clip,1250.661851974333,1265.4328295560044,1000.0
Percentile_remove,1069.9702518143083,1195.9995446292178,1000.0
ZScore_clip,1279.1654191466837,1269.3531934976568,1000.0
ZScore_remove,1267.284123357383,1225.5812257556636,1000.0
