dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
elevators,0.0 ± 0.0003 (0.0%),-0.0009 ± 0.0005 (12.5%),-0.0004 ± 0.0003 (12.5%),-0.0406 ± 0.0731 (52.68%),-0.0119 ± 0.0226 (52.68%),-0.0003 ± 0.0002 (5.0%),-0.0002 ± 0.0004 (5.0%),-0.0005 ± 0.0004 (5.01%)
pol,0.0 ± 0.0032 (0.0%),0.1068 ± 0.0038 (35.99%),0.0161 ± 0.0034 (35.99%),0.1787 ± 0.0147 (62.64%),0.1272 ± 0.012 (62.64%),0.0011 ± 0.0013 (5.0%),0.0046 ± 0.0019 (5.0%),0.0011 ± 0.0009 (5.01%)
socmob,0.0 ± 71.2329 (0.0%),-88.3782 ± 184.0722 (1.38%),-55.4189 ± 233.2158 (1.38%),-416.1031 ± 21.7649 (4.84%),-682.2244 ± 125.1957 (4.84%),-430.4853 ± 36.6357 (4.9%),-180.2424 ± 174.2556 (4.79%),-416.1369 ± 30.2406 (5.06%)
AVERAGE,0.0,-29.42408766666666,-18.467712666666674,-138.655002,-227.36970033333333,-143.49481833333337,-60.079374333333334,-138.71209333333337
