dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
elevators,0.0 ± 0.0 (0.0%),-0.0 ± 0.0 (12.5%),-0.0 ± 0.0 (12.5%),-0.0 ± 0.0 (52.68%),-0.0 ± 0.0 (52.68%),-0.0 ± 0.0 (5.0%),-0.0 ± 0.0 (5.0%),0.0 ± 0.0 (5.01%)
pol,0.0 ± 0.0013 (0.0%),0.0957 ± 0.0088 (35.99%),0.0001 ± 0.0018 (35.99%),0.1248 ± 0.0049 (62.64%),0.0024 ± 0.0017 (62.64%),0.0001 ± 0.0019 (5.0%),0.0004 ± 0.0021 (5.0%),-0.0001 ± 0.0035 (5.01%)
socmob,0.0 ± 128.9534 (0.0%),-78.0802 ± 195.7642 (1.38%),-128.3686 ± 111.3159 (1.38%),-392.9811 ± 79.5437 (4.84%),-333.7375 ± 50.9588 (4.84%),-398.1499 ± 70.9747 (4.9%),-166.8779 ± 194.5872 (4.79%),-386.4218 ± 71.0597 (5.06%)
AVERAGE,0.0,-25.99484899999997,-42.789517,-130.95207933333333,-111.24505433333331,-132.7166166666667,-55.625846333333364,-128.8072993333333
