[2026-03-19 18:32:48] Experiment started
[2026-03-19 18:32:48] RUN 1/336 Bank_Customer_Churn_Dataset mlp None remove
[2026-03-19 18:32:58] Bank_Customer_Churn_Dataset mlp None remove run=0 score=0.84050
[2026-03-19 18:33:04] Bank_Customer_Churn_Dataset mlp None remove run=1 score=0.83400
[2026-03-19 18:33:10] Bank_Customer_Churn_Dataset mlp None remove run=2 score=0.80900
[2026-03-19 18:33:17] Bank_Customer_Churn_Dataset mlp None remove run=3 score=0.82950
[2026-03-19 18:33:26] Bank_Customer_Churn_Dataset mlp None remove run=4 score=0.82100
[2026-03-19 18:33:26] RESULT Bank_Customer_Churn_Dataset mlp None remove 0.8268
[2026-03-19 18:33:26] RUN 2/336 Bank_Customer_Churn_Dataset mlp ZScore remove
[2026-03-19 18:33:32] Bank_Customer_Churn_Dataset mlp ZScore remove run=0 score=0.83800
[2026-03-19 18:33:38] Bank_Customer_Churn_Dataset mlp ZScore remove run=1 score=0.82650
[2026-03-19 18:33:44] Bank_Customer_Churn_Dataset mlp ZScore remove run=2 score=0.81900
[2026-03-19 18:33:50] Bank_Customer_Churn_Dataset mlp ZScore remove run=3 score=0.83450
[2026-03-19 18:33:57] Bank_Customer_Churn_Dataset mlp ZScore remove run=4 score=0.82200
[2026-03-19 18:33:57] RESULT Bank_Customer_Churn_Dataset mlp ZScore remove 0.8280
[2026-03-19 18:33:57] RUN 3/336 Bank_Customer_Churn_Dataset mlp ZScore clip
[2026-03-19 18:34:05] Bank_Customer_Churn_Dataset mlp ZScore clip run=0 score=0.84450
[2026-03-19 18:34:12] Bank_Customer_Churn_Dataset mlp ZScore clip run=1 score=0.82450
[2026-03-19 18:34:18] Bank_Customer_Churn_Dataset mlp ZScore clip run=2 score=0.80050
[2026-03-19 18:34:24] Bank_Customer_Churn_Dataset mlp ZScore clip run=3 score=0.82550
[2026-03-19 18:34:30] Bank_Customer_Churn_Dataset mlp ZScore clip run=4 score=0.81650
[2026-03-19 18:34:30] RESULT Bank_Customer_Churn_Dataset mlp ZScore clip 0.8223
[2026-03-19 18:34:30] RUN 4/336 Bank_Customer_Churn_Dataset mlp Percentile remove
[2026-03-19 18:34:36] Bank_Customer_Churn_Dataset mlp Percentile remove run=0 score=0.82450
[2026-03-19 18:34:40] Bank_Customer_Churn_Dataset mlp Percentile remove run=1 score=0.81000
[2026-03-19 18:34:44] Bank_Customer_Churn_Dataset mlp Percentile remove run=2 score=0.80750
[2026-03-19 18:34:48] Bank_Customer_Churn_Dataset mlp Percentile remove run=3 score=0.81800
[2026-03-19 18:34:52] Bank_Customer_Churn_Dataset mlp Percentile remove run=4 score=0.81550
[2026-03-19 18:34:52] RESULT Bank_Customer_Churn_Dataset mlp Percentile remove 0.8151
[2026-03-19 18:34:52] RUN 5/336 Bank_Customer_Churn_Dataset mlp Percentile clip
[2026-03-19 18:34:58] Bank_Customer_Churn_Dataset mlp Percentile clip run=0 score=0.82000
[2026-03-19 18:35:05] Bank_Customer_Churn_Dataset mlp Percentile clip run=1 score=0.80450
[2026-03-19 18:35:13] Bank_Customer_Churn_Dataset mlp Percentile clip run=2 score=0.80550
[2026-03-19 18:35:19] Bank_Customer_Churn_Dataset mlp Percentile clip run=3 score=0.81300
[2026-03-19 18:35:25] Bank_Customer_Churn_Dataset mlp Percentile clip run=4 score=0.80500
[2026-03-19 18:35:25] RESULT Bank_Customer_Churn_Dataset mlp Percentile clip 0.8096
[2026-03-19 18:35:25] RUN 6/336 Bank_Customer_Churn_Dataset mlp IsolationForest remove
[2026-03-19 18:35:32] Bank_Customer_Churn_Dataset mlp IsolationForest remove run=0 score=0.84400
[2026-03-19 18:35:41] Bank_Customer_Churn_Dataset mlp IsolationForest remove run=1 score=0.81200
[2026-03-19 18:35:48] Bank_Customer_Churn_Dataset mlp IsolationForest remove run=2 score=0.82000
[2026-03-19 18:35:55] Bank_Customer_Churn_Dataset mlp IsolationForest remove run=3 score=0.83350
[2026-03-19 18:36:03] Bank_Customer_Churn_Dataset mlp IsolationForest remove run=4 score=0.82300
[2026-03-19 18:36:03] RESULT Bank_Customer_Churn_Dataset mlp IsolationForest remove 0.8265
[2026-03-19 18:36:03] RUN 7/336 Bank_Customer_Churn_Dataset mlp LOF remove
[2026-03-19 18:36:10] Bank_Customer_Churn_Dataset mlp LOF remove run=0 score=0.85300
[2026-03-19 18:36:18] Bank_Customer_Churn_Dataset mlp LOF remove run=1 score=0.83500
[2026-03-19 18:36:25] Bank_Customer_Churn_Dataset mlp LOF remove run=2 score=0.82300
[2026-03-19 18:36:32] Bank_Customer_Churn_Dataset mlp LOF remove run=3 score=0.83050
[2026-03-19 18:36:39] Bank_Customer_Churn_Dataset mlp LOF remove run=4 score=0.82250
[2026-03-19 18:36:39] RESULT Bank_Customer_Churn_Dataset mlp LOF remove 0.8328
[2026-03-19 18:36:39] RUN 8/336 Bank_Customer_Churn_Dataset mlp Autoencoder remove
[2026-03-19 18:36:53] Bank_Customer_Churn_Dataset mlp Autoencoder remove run=0 score=0.84550
[2026-03-19 18:36:59] Bank_Customer_Churn_Dataset mlp Autoencoder remove run=1 score=0.83800
[2026-03-19 18:37:05] Bank_Customer_Churn_Dataset mlp Autoencoder remove run=2 score=0.81250
[2026-03-19 18:37:12] Bank_Customer_Churn_Dataset mlp Autoencoder remove run=3 score=0.81400
[2026-03-19 18:37:19] Bank_Customer_Churn_Dataset mlp Autoencoder remove run=4 score=0.83100
[2026-03-19 18:37:19] RESULT Bank_Customer_Churn_Dataset mlp Autoencoder remove 0.8282
[2026-03-19 18:37:19] RUN 9/336 Bank_Customer_Churn_Dataset xgboost None remove
[2026-03-19 18:37:23] Bank_Customer_Churn_Dataset xgboost None remove run=0 score=0.83250
[2026-03-19 18:37:25] Bank_Customer_Churn_Dataset xgboost None remove run=1 score=0.82150
