dataset,model,outlier,mean,std,min,max,train_size,removed,removed_pct,time
house_16H,mlp,None,0.86405,0.00211,0.86064,0.86694,8632,0.00,0.0000,5.935
house_16H,xgboost,None,0.87650,0.00309,0.87287,0.88176,8632,0.00,0.0000,0.120
house_16H,randomforest,None,0.88206,0.00143,0.88028,0.88436,8632,0.00,0.0000,2.118
kc1,mlp,None,0.86161,0.00385,0.85782,0.86730,1349,0.00,0.0000,1.192
kc1,xgboost,None,0.87441,0.00000,0.87441,0.87441,1349,0.00,0.0000,0.062
kc1,randomforest,None,0.87062,0.00440,0.86256,0.87441,1349,0.00,0.0000,0.163
phoneme,mlp,None,0.84255,0.00583,0.83719,0.85014,3458,0.00,0.0000,1.864
phoneme,xgboost,None,0.87789,0.00000,0.87789,0.87789,3458,0.00,0.0000,0.072
phoneme,randomforest,None,0.88585,0.00313,0.88252,0.89177,3458,0.00,0.0000,0.409
pol,mlp,None,0.98642,0.00162,0.98364,0.98860,6452,0.00,0.0000,2.461
pol,xgboost,None,0.98413,0.00000,0.98413,0.98413,6452,0.00,0.0000,0.108
pol,randomforest,None,0.98235,0.00097,0.98066,0.98364,6452,0.00,0.0000,0.423
socmob,mlp,None,1149.40958,4.23796,1143.39541,1154.33836,739,0.00,0.0000,0.758
socmob,mlp,ZScore,1223.60777,3.13742,1217.62017,1226.01371,739,10.00,0.0135,0.442
socmob,mlp,IsolationForest,1575.76096,31.69939,1527.32354,1613.99340,739,36.80,0.0498,0.431
socmob,mlp,IQR,1662.91735,28.58098,1636.10045,1711.72850,739,104.00,0.1407,0.396
socmob,xgboost,None,1395.63895,0.00000,1395.63895,1395.63895,739,0.00,0.0000,0.051
socmob,xgboost,ZScore,1604.19365,0.00000,1604.19365,1604.19365,739,10.00,0.0135,0.045
socmob,xgboost,IsolationForest,1695.33435,36.46746,1629.93856,1722.10609,739,36.80,0.0498,0.038
socmob,xgboost,IQR,1781.26181,0.00000,1781.26181,1781.26181,739,104.00,0.1407,0.035
socmob,randomforest,None,1681.10120,32.19956,1643.21876,1728.43936,739,0.00,0.0000,0.121
socmob,randomforest,ZScore,1841.56212,35.93314,1786.24392,1881.69554,739,10.00,0.0135,0.122
socmob,randomforest,IsolationForest,1885.73696,9.26695,1873.30820,1894.63595,739,36.80,0.0498,0.117
socmob,randomforest,IQR,1836.64635,6.96065,1827.62684,1846.39349,739,104.00,0.1407,0.110
vehicle,mlp,None,0.83647,0.01141,0.81765,0.84706,540,0.00,0.0000,0.480
vehicle,xgboost,None,0.77647,0.00000,0.77647,0.77647,540,0.00,0.0000,0.118
vehicle,randomforest,None,0.73294,0.01153,0.71765,0.75294,540,0.00,0.0000,0.118
