dataset,model,outlier,mean,std,min,max,removed,time
cmc,randomforest,ZScore,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.109
cmc,randomforest,IsolationForest,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.106
cmc,randomforest,IQR,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.105
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.260
cmc,mlp,ZScore,0.58847,0.00346,0.58305,0.59322,942,14.00,0.0149,0.204
cmc,mlp,IsolationForest,0.58034,0.00450,0.57288,0.58644,942,47.20,0.0501,0.239
cmc,mlp,IQR,0.58305,0.01006,0.57288,0.59661,942,58.00,0.0616,0.250
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.101
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,942,14.00,0.0149,0.116
cmc,xgboost,IsolationForest,0.52000,0.01570,0.50169,0.54576,942,47.20,0.0501,0.139
cmc,xgboost,IQR,0.48475,0.00000,0.48475,0.48475,942,58.00,0.0616,0.130
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.109
cmc,randomforest,ZScore,0.52068,0.00460,0.51186,0.52542,942,14.00,0.0149,0.107
cmc,randomforest,IsolationForest,0.52814,0.00724,0.51525,0.53559,942,47.20,0.0501,0.106
cmc,randomforest,IQR,0.52136,0.00785,0.50847,0.53220,942,58.00,0.0616,0.107
