dataset,model,outlier,run,score
cmc,randomforest,ZScore,0,0.46441
cmc,randomforest,ZScore,1,0.45763
cmc,randomforest,ZScore,2,0.47119
cmc,randomforest,ZScore,3,0.49153
cmc,randomforest,ZScore,4,0.47797
cmc,randomforest,IsolationForest,0,0.39661
cmc,randomforest,IsolationForest,1,0.38305
cmc,randomforest,IsolationForest,2,0.40000
cmc,randomforest,IsolationForest,3,0.42373
cmc,randomforest,IsolationForest,4,0.37288
cmc,randomforest,LOF,0,0.49153
cmc,randomforest,LOF,1,0.48475
cmc,randomforest,LOF,2,0.47119
cmc,randomforest,LOF,3,0.48814
cmc,randomforest,LOF,4,0.47458
cmc,randomforest,IQR,0,0.46780
cmc,randomforest,IQR,1,0.44068
cmc,randomforest,IQR,2,0.44407
cmc,randomforest,IQR,3,0.44407
cmc,randomforest,IQR,4,0.46441
cmc,linear,None,0,0.49492
cmc,linear,None,1,0.49492
cmc,linear,None,2,0.49492
cmc,linear,None,3,0.49492
cmc,linear,None,4,0.49492
cmc,linear,ZScore,0,0.46780
cmc,linear,ZScore,1,0.46780
cmc,linear,ZScore,2,0.46780
cmc,linear,ZScore,3,0.46780
cmc,linear,ZScore,4,0.46780
cmc,linear,IsolationForest,0,0.45763
cmc,linear,IsolationForest,1,0.45763
cmc,linear,IsolationForest,2,0.45763
cmc,linear,IsolationForest,3,0.45763
cmc,linear,IsolationForest,4,0.45763
cmc,linear,LOF,0,0.49492
cmc,linear,LOF,1,0.49492
cmc,linear,LOF,2,0.49492
cmc,linear,LOF,3,0.49492
cmc,linear,LOF,4,0.49492
cmc,linear,IQR,0,0.45424
cmc,linear,IQR,1,0.45424
cmc,linear,IQR,2,0.45424
cmc,linear,IQR,3,0.45424
cmc,linear,IQR,4,0.45424
credit-g,mlp,None,0,0.70000
credit-g,mlp,None,1,0.41000
credit-g,mlp,None,2,0.57500
credit-g,mlp,None,3,0.69500
credit-g,mlp,None,4,0.70000
cmc,mlp,None,0,0.54576
cmc,mlp,None,1,0.56271
cmc,mlp,None,2,0.54915
cmc,mlp,None,3,0.55254
cmc,mlp,None,4,0.54237
cmc,mlp,ZScore,0,0.53898
cmc,mlp,ZScore,1,0.54915
cmc,mlp,ZScore,2,0.53898
cmc,mlp,ZScore,3,0.54915
cmc,mlp,ZScore,4,0.55593
cmc,mlp,IsolationForest,0,0.47119
cmc,mlp,IsolationForest,1,0.48814
cmc,mlp,IsolationForest,2,0.48475
cmc,mlp,IsolationForest,3,0.51864
cmc,mlp,IsolationForest,4,0.46441
cmc,mlp,LOF,0,0.52542
cmc,mlp,LOF,1,0.53898
cmc,mlp,LOF,2,0.53220
cmc,mlp,LOF,3,0.53898
cmc,mlp,LOF,4,0.52881
cmc,mlp,IQR,0,0.53559
cmc,mlp,IQR,1,0.53898
cmc,mlp,IQR,2,0.55254
cmc,mlp,IQR,3,0.54915
cmc,mlp,IQR,4,0.55254
cmc,xgboost,None,0,0.47119
cmc,xgboost,None,1,0.47119
cmc,xgboost,None,2,0.47119
cmc,xgboost,None,3,0.47119
cmc,xgboost,None,4,0.47119
cmc,xgboost,ZScore,0,0.50508
cmc,xgboost,ZScore,1,0.50508
cmc,xgboost,ZScore,2,0.50508
cmc,xgboost,ZScore,3,0.50508
cmc,xgboost,ZScore,4,0.50508
cmc,xgboost,IsolationForest,0,0.39661
cmc,xgboost,IsolationForest,1,0.39661
cmc,xgboost,IsolationForest,2,0.39661
cmc,xgboost,IsolationForest,3,0.39661
cmc,xgboost,IsolationForest,4,0.39661
cmc,xgboost,LOF,0,0.48136
cmc,xgboost,LOF,1,0.48136
cmc,xgboost,LOF,2,0.48136
cmc,xgboost,LOF,3,0.48136
cmc,xgboost,LOF,4,0.48136
cmc,xgboost,IQR,0,0.46441
cmc,xgboost,IQR,1,0.46441
cmc,xgboost,IQR,2,0.46441
cmc,xgboost,IQR,3,0.46441
