dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
elevators,0.0 ± 0.0 (0.0%),0.0 ± 0.0 (12.5%),0.0 ± 0.0 (12.5%),0.0 ± 0.0 (52.68%),0.0 ± 0.0 (52.68%),0.0 ± 0.0 (5.0%),0.0 ± 0.0 (5.0%),0.0 ± 0.0 (5.01%)
pol,0.9798 ± 0.0012 (0.0%),0.8901 ± 0.0072 (35.99%),0.9787 ± 0.0016 (35.99%),0.8539 ± 0.0033 (62.64%),0.9761 ± 0.0027 (62.64%),0.9795 ± 0.0021 (5.0%),0.9759 ± 0.0029 (5.0%),0.9788 ± 0.0015 (5.01%)
socmob,1521.0566 ± 224.8645 (0.0%),1607.8892 ± 236.8226 (1.38%),1664.5463 ± 189.8635 (1.38%),1894.6426 ± 40.0729 (4.84%),1914.0618 ± 34.8603 (4.84%),1909.125 ± 40.8631 (4.9%),1740.9387 ± 275.5825 (4.79%),1897.5262 ± 57.5406 (5.06%)
