,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bike_Sharing_Demand,7057.45645,6885.55765,6983.61716,6851.35907,7505.95252,7780.97056,6829.94051,6821.47618
abalone,50.10914,52.33036,53.59289,47.52862,45.45416,42.59275,47.424,35.71215
california_housing,21644202385.72633,18831365374.12375,10552971775.04892,9271258329.94977,14423969104.0911,26409637647.58452,10575048704.22623,14634529719.67606
cpu_act,0.79843,-2.40145,-2.15452,-0.1741,8487498.88571,121904.54631,5.81898,33668.0401
elevators,0.00139,0.00117,0.00116,0.00091,0.01286,0.04153,0.00126,0.00181
socmob,-180.94005,-178.31981,-197.29065,-210.65515,137.83169,-187.53315,-283.60495,-200.35722
wine_quality,0.01286,0.0278,0.02514,0.01691,0.13496,0.35905,0.03895,0.03214
GAP_REDUCED,2/7,1/7,1/7,-,2/7,2/7,2/7,3/7
