dataset,mlp,randomforest,xgboost
Bike_Sharing_Demand,8963.35822,2217.70043,2111.99915
abalone,59.89306,10.07023,12.36444
california_housing,11815550954.68276,2818039104.55991,2544292624.73299
cpu_act,10.79173,9.141,10.96583
elevators,0.00092,1e-05,1e-05
socmob,1183.38808,1521.05661,1394.04323
wine_quality,0.50964,0.4487,0.49273
