dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
elevators,0.0 ± 0.0 (0.0%),-0.0 ± 0.0 (12.5%),0.0 ± 0.0 (12.5%),-0.0 ± 0.0 (52.68%),-0.0 ± 0.0 (52.68%),-0.0 ± 0.0 (5.0%),0.0 ± 0.0 (5.0%),0.0 ± 0.0 (5.01%)
pol,0.0 ± 0.0012 (0.0%),0.0896 ± 0.0072 (35.99%),0.0011 ± 0.0016 (35.99%),0.1258 ± 0.0033 (62.64%),0.0037 ± 0.0027 (62.64%),0.0003 ± 0.0021 (5.0%),0.0039 ± 0.0029 (5.0%),0.001 ± 0.0015 (5.01%)
socmob,0.0 ± 224.8645 (0.0%),-86.8326 ± 236.8226 (1.38%),-143.4897 ± 189.8635 (1.38%),-373.586 ± 40.0729 (4.84%),-393.0052 ± 34.8603 (4.84%),-388.0684 ± 40.8631 (4.9%),-219.8821 ± 275.5825 (4.79%),-376.4696 ± 57.5406 (5.06%)
AVERAGE,0.0,-28.914304999999988,-47.82953499999996,-124.48672966666662,-131.00050666666667,-129.35603899999998,-73.29274133333331,-125.48953833333333
