dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
elevators,0.0 ± 0.0 (0.0%),0.0 ± 0.0 (12.5%),0.0 ± 0.0 (12.5%),0.0 ± 0.0 (52.68%),0.0 ± 0.0 (52.68%),0.0 ± 0.0 (5.0%),0.0 ± 0.0 (5.0%),0.0 ± 0.0 (5.01%)
pol,0.9813 ± 0.0013 (0.0%),0.8856 ± 0.0088 (35.99%),0.9812 ± 0.0018 (35.99%),0.8564 ± 0.0049 (62.64%),0.9789 ± 0.0017 (62.64%),0.9812 ± 0.0019 (5.0%),0.9809 ± 0.0021 (5.0%),0.9814 ± 0.0035 (5.01%)
socmob,1394.0432 ± 128.9534 (0.0%),1472.1235 ± 195.7642 (1.38%),1522.4119 ± 111.3159 (1.38%),1787.0243 ± 79.5437 (4.84%),1727.7808 ± 50.9588 (4.84%),1792.1932 ± 70.9747 (4.9%),1560.9212 ± 194.5872 (4.79%),1780.465 ± 71.0597 (5.06%)
