,mlp,randomforest,xgboost,outlier_pct
Bike_Sharing_Demand,8963.35822,2217.70043,2111.99915,30.0989
abalone,59.89306,10.07023,12.36444,16.6766
california_housing,11815550954.68276,2818039104.55991,2544292624.73299,36.8643
cpu_act,10.79173,9.141,10.96583,43.4185
elevators,0.00092,1e-05,1e-05,52.6819
socmob,1183.38808,1521.05661,1394.04323,4.8444
wine_quality,0.50964,0.4487,0.49273,57.7484
PEARSON_CORR,,-0.05203,-0.05203,
