dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
elevators,0.0009 ± 0.0003 (0.0%),0.0018 ± 0.0005 (12.5%),0.0013 ± 0.0003 (12.5%),0.0415 ± 0.0731 (52.68%),0.0129 ± 0.0226 (52.68%),0.0012 ± 0.0002 (5.0%),0.0012 ± 0.0004 (5.0%),0.0014 ± 0.0004 (5.01%)
pol,0.9829 ± 0.0032 (0.0%),0.8762 ± 0.0038 (35.99%),0.9669 ± 0.0034 (35.99%),0.8043 ± 0.0147 (62.64%),0.8557 ± 0.012 (62.64%),0.9819 ± 0.0013 (5.0%),0.9784 ± 0.0019 (5.0%),0.9819 ± 0.0009 (5.01%)
socmob,1183.3881 ± 71.2329 (0.0%),1271.7662 ± 184.0722 (1.38%),1238.8069 ± 233.2158 (1.38%),1599.4911 ± 21.7649 (4.84%),1865.6125 ± 125.1957 (4.84%),1613.8734 ± 36.6357 (4.9%),1363.6305 ± 174.2556 (4.79%),1599.525 ± 30.2406 (5.06%)
