dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bike_Sharing_Demand,2346.47681,2326.83848,2220.76773,2111.99915,3121.54565,4061.5332,2136.42227,2297.82822
abalone,13.7889,11.87416,11.56179,12.36444,13.1433,11.45069,12.15868,12.71274
california_housing,2618214402.76535,2679061273.02463,2628646752.8035,2544292624.73299,2671694389.24872,3806975730.61214,2549780785.39783,2599619473.49955
cpu_act,11.02211,14.91274,14.31756,10.96583,10.4146,232.46935,10.94237,209.70628
elevators,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
socmob,1780.46503,1792.19318,1560.92117,1394.04323,1727.78077,1787.0243,1522.41188,1472.12346
wine_quality,0.51825,0.52373,0.49921,0.49273,0.49032,0.657,0.49346,0.51384
IMPROVED,0/7,1/7,1/7,-,2/7,1/7,2/7,0/7
