method,improved,avg_improvement,std_improvement,avg_outliers,correlation
nan_remove,0/33,0.0,0.0,0.0,
ZScore_remove,9/33,-0.0023499090909090887,0.009162806585469719,0.05591781818181818,-0.09291911463904139
ZScore_clip,8/33,-0.0029174545454545495,0.008375278659882406,0.07011509090909092,-0.15964370073832343
Percentile_remove,1/33,-0.024577696969696968,0.03381137445213967,0.2961562727272727,-0.19222274824028637
Percentile_clip,4/33,-0.007050151515151515,0.029643065193567207,0.3035450909090909,0.04283456105005458
IsolationForest_remove,9/33,-0.0029841818181818203,0.008450412092224198,0.04076218181818182,-0.17857355346718673
LOF_remove,8/33,-0.003108242424242421,0.007289071713146606,0.04052154545454545,-0.20944898155780015
Autoencoder_remove,5/33,-0.0041385151515151465,0.0076813768220662,0.04176763636363636,-0.28588059376374897
