dataset,Autoencoder_remove_mlp,Autoencoder_remove_randomforest,Autoencoder_remove_xgboost,IsolationForest_remove_mlp,IsolationForest_remove_randomforest,IsolationForest_remove_xgboost,LOF_remove_mlp,LOF_remove_randomforest,LOF_remove_xgboost,Percentile_clip_mlp,Percentile_clip_randomforest,Percentile_clip_xgboost,Percentile_remove_mlp,Percentile_remove_randomforest,Percentile_remove_xgboost,ZScore_clip_mlp,ZScore_clip_randomforest,ZScore_clip_xgboost,ZScore_remove_mlp,ZScore_remove_randomforest,ZScore_remove_xgboost,nan_remove_mlp,nan_remove_randomforest,nan_remove_xgboost
Bank_Customer_Churn_Dataset,0.8282,0.8263,0.7986,0.8265,0.8074,0.8066,0.8328,0.8303,0.8085,0.8096,0.8146,0.7945,0.8151,0.7961,0.7917,0.8223,0.815,0.7885,0.828,0.8164,0.8097,0.8268,0.8181,0.804
cmc,0.4976,0.4949,0.4997,0.5119,0.5044,0.5085,0.5017,0.5125,0.5024,0.5071,0.499,0.5003,0.5024,0.4847,0.4895,0.5037,0.5186,0.5125,0.5132,0.5098,0.5017,0.5064,0.518,0.5166
connect-4,0.7786,0.7969,0.8281,0.7786,0.7969,0.8281,0.7786,0.7969,0.8281,0.7786,0.7969,0.8281,0.7786,0.7969,0.8281,0.7786,0.7969,0.8281,0.7786,0.7969,0.8281,0.7786,0.7969,0.8281
credit-g,0.682,0.741,0.725,0.698,0.725,0.735,0.694,0.722,0.719,0.687,0.732,0.737,0.676,0.728,0.725,0.696,0.736,0.704,0.687,0.721,0.742,0.688,0.737,0.726
electricity,0.7827,0.8451,0.8596,0.7787,0.8437,0.8553,0.782,0.8455,0.8564,0.7447,0.8047,0.8175,0.7118,0.7667,0.7755,0.7852,0.8501,0.8634,0.7854,0.8517,0.8616,0.7882,0.852,0.8634
elevators,0.0014,0.0,0.0,0.0012,0.0,0.0,0.0012,0.0,0.0,0.0129,0.0,0.0,0.0415,0.0,0.0,0.0013,0.0,0.0,0.0018,0.0,0.0,0.0009,0.0,0.0
eucalyptus,0.527,0.5716,0.5811,0.5297,0.5541,0.5568,0.5459,0.5662,0.5608,0.4635,0.5351,0.5203,0.4432,0.4986,0.4797,0.5419,0.5892,0.5459,0.5554,0.5905,0.5635,0.5405,0.5784,0.5824
eye_movements,0.3937,0.3316,0.4676,0.4064,0.3342,0.4907,0.399,0.3217,0.4963,0.3926,0.4449,0.4689,0.4015,0.3992,0.4378,0.403,0.3178,0.4871,0.4106,0.3298,0.4894,0.4027,0.322,0.4945
house_16H,0.8612,0.8762,0.8717,0.8569,0.8766,0.8739,0.8626,0.8764,0.8722,0.8492,0.8736,0.8703,0.8318,0.8574,0.8586,0.8563,0.8764,0.874,0.8525,0.8676,0.8672,0.8597,0.8769,0.8732
kc1,0.8569,0.8521,0.8588,0.864,0.8536,0.8602,0.8569,0.8635,0.8621,0.8493,0.8526,0.8521,0.8483,0.8365,0.8256,0.8588,0.8564,0.8573,0.8564,0.8488,0.8431,0.8588,0.8616,0.8668
phoneme,0.8407,0.8747,0.8583,0.8396,0.8729,0.8561,0.8401,0.8673,0.8527,0.8448,0.8738,0.8599,0.8081,0.8346,0.8302,0.8457,0.8757,0.8592,0.8424,0.8755,0.8611,0.8475,0.8751,0.8612
pol,0.9819,0.9788,0.9814,0.9819,0.9795,0.9812,0.9784,0.9759,0.9809,0.8557,0.9761,0.9789,0.8043,0.8539,0.8564,0.9669,0.9787,0.9812,0.8762,0.8901,0.8856,0.9829,0.9798,0.9813
socmob,1599.525,1897.5262,1780.465,1613.8734,1909.125,1792.1932,1363.6305,1740.9387,1560.9212,1865.6125,1914.0618,1727.7808,1599.4911,1894.6426,1787.0243,1238.8069,1664.5463,1522.4119,1271.7662,1607.8892,1472.1235,1183.3881,1521.0566,1394.0432
splice,0.8263,0.9426,0.9486,0.8263,0.9426,0.9486,0.8263,0.9426,0.9486,0.8263,0.9426,0.9486,0.8263,0.9426,0.9486,0.8263,0.9426,0.9486,0.8263,0.9426,0.9486,0.8263,0.9426,0.9486
vehicle,0.8035,0.7176,0.7388,0.8024,0.7235,0.74,0.7965,0.7176,0.7294,0.7835,0.7235,0.7412,0.7482,0.6824,0.6718,0.8059,0.7235,0.7459,0.8,0.7188,0.7341,0.8059,0.7188,0.7459
