method,median,p2.5,p97.5
randomforest,1059.44843408309,982.5757707997474,1126.266363156891
xgboost,1037.5619857601005,951.919672157902,1120.5592359206535
mlp,905.5761697927303,824.1639745817116,1000.7448182827972
