,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bank_Customer_Churn_Dataset,-0.0296,-0.0199,-0.0243,-0.0228,-0.0151,-0.0234,-0.0338,-0.0183
cmc,0.00203,-0.00338,0.00067,0.01017,-0.00678,-0.01288,0.00881,-0.01152
connect-4,0.04944,0.04944,0.04944,0.04944,0.04944,0.04944,0.04944,0.04944
credit-g,0.043,0.037,0.025,0.038,0.05,0.049,0.008,0.055
electricity,0.07694,0.07662,0.07439,0.07527,0.07284,0.06366,0.07823,0.0762
eucalyptus,0.05405,0.02703,0.01486,0.04189,0.05676,0.03649,0.00406,0.0081
eye_movements,0.07386,0.08428,0.09734,0.09187,0.07632,0.03638,0.08409,0.0788
house_16H,0.01045,0.01698,0.00964,0.01349,0.02113,0.02676,0.01764,0.01468
kc1,0.0019,-0.00379,0.00521,0.00805,0.00284,-0.02275,-0.00142,-0.01327
phoneme,0.01758,0.01647,0.01258,0.01369,0.01517,0.02202,0.0135,0.01869
splice,0.12226,0.12226,0.12226,0.12226,0.12226,0.12226,0.12226,0.12226
vehicle,-0.06471,-0.06235,-0.06706,-0.06,-0.04235,-0.07648,-0.06,-0.06588
GAP_REDUCED,4/12,6/12,7/12,-,6/12,3/12,6/12,3/12
